Fighter,Height,Weight,Style(op),Country,Age,Stance,Wins KO,Losses Ko,Wins Sub,Losses Sub,Total Wins,Total Losses,Total Draw
Justin Larsson,0,0,,,,,0,1,0,2,0,4,0
Viktor Larsson,0,0,,,,,0,1,0,0,0,1,0
Bobby Lashley,0,0,,,7/16/197,Orthodox,5,1,7,0,15,2,0
Tim Lashley,0,0,,,,,0,1,0,0,0,1,0
Bryan Lashomb,0,0,,USA,7/28/198,,0,0,1,1,1,1,0
Marcin Lasota,0,0,,,10/11/198,,0,1,0,0,0,1,0
Rafal Lasota,0,0,,,,,0,1,0,0,0,1,0
Richard Lasprilla,0,0,,,,,0,0,0,0,0,1,0
Mylo Lassiter,0,0,,,,,0,0,0,0,0,1,0
Rafal Lassota,0,0,,Poland,,,0,0,0,0,0,1,0
Dave Lastafka,0,0,,,6/24/198,,0,1,0,0,0,1,0
Kertesz Laszlo,0,0,,,,,0,0,0,1,0,1,0
Pawel Latalo,0,0,,,,,0,1,0,0,0,1,0
Kendrick Latchman,"5' 8""", 125 lbs,,USA,29,,1,0,0,1,2,3,0
Majanka Lathouwers,0,0,,,,,0,0,1,2,1,2,0
Ilir Latifi,"5' 10""", 253 lbs,,Sweden,40,Orthodox,5,4,6,0,17,8,0
Frank Latina,0,0,,,,,0,0,0,1,0,2,0
Vincent Latoel,0,0,,,3/31/197,,7,3,7,14,16,18,2
Jarkko Latomaki,0,0,,,,,0,3,0,1,0,4,0
Sebastian Latorre,0,0,,,,,0,1,0,2,0,3,0
Joseph Latour,0,0,,,,,0,1,0,0,0,1,0
Chris Latozke,0,0,,,,,0,1,0,0,0,1,0
Kerry Lattimer,"5' 8""", 145 lbs,,,37,,0,0,0,3,1,4,0
Carlo Lattore,0,0,,,,,0,1,0,0,0,1,0
Sione Latu,0,0,,,,,1,0,0,0,1,0,0
Chester Lauchner,0,0,,,,,0,0,0,1,0,1,0
Fritz Laud,0,0,,,,,0,0,0,1,0,1,0
Fritz Laude,0,0,,France,,,0,0,0,1,0,1,0
Macksuel Laudino,0,0,,,,,0,0,0,0,0,1,0
Cassiano Laureano,0,0,,,,,0,0,0,0,0,1,0
Carlo Laurel,0,0,,Philippines,,,0,0,0,0,0,2,0
Ralph Lauren,0,0,,,,,0,0,0,1,0,1,0
Joe Laurence,0,0,,,,,0,0,0,0,0,1,0
Lois Laurent,0,0,,France,,,0,1,0,0,0,2,0
Mackensy Laurent,0,0,,,,,0,1,0,0,0,1,0
Ismael Laurentino,0,0,,Brazil,,,0,1,0,0,0,1,0
Luis Rafael Laurentino,"5' 8""", 145 lbs,,Brazil,30,,10,3,19,0,34,3,0
Mindaugas Laurinaitis,0,0,,,,,0,1,0,1,0,2,0
Cole Lauritsen,0,0,,,,,0,0,0,1,0,2,0
Ole Laursen,0,0,,,,,0,0,0,2,1,2,0
Jenel Lausa,"5' 5""", 125 lbs,Wrestling,Philippines,34,Orthodox,2,0,2,2,7,6,0
Arune Lauzeckaite,0,0,,,,,0,1,0,0,0,1,0
Dan Lauzon,0,0,,USA,3/30/198,Orthodox,9,3,7,2,17,6,0
Joe Lauzon,"5' 10""", 155 lbs,,USA,38,Orthodox,9,6,17,3,28,16,0
Junior Lava,0,0,,,,,0,1,0,0,0,1,0
Sandra Lavado,"5' 7""", 115 lbs,Mixed Martial Artist,Peru,28,Orthodox,0,0,4,0,11,3,0
Shane Lavafor,0,0,,,,,0,1,0,0,0,1,0
Gabriel Lavallee,0,0,,,,,0,0,0,1,0,1,0
Christopher Lavant,"5' 10""", 165 lbs,,USA,27,,0,1,0,1,0,2,0
Jean Sebastian Lavaux,0,0,,France,,,0,0,0,0,1,0,0
Chatt Lavender,0,0,,,,,0,1,0,2,0,4,0
Dean Lavin,0,0,,,,,0,0,1,1,1,1,0
Martin Lavin,0,0,,,,,0,1,0,0,0,2,0
Will Lavine,"6' 2""", 170 lbs,,USA,,,0,0,0,1,0,1,0
Stephane Lavoie,0,0,,Canada,2/14/199,,0,0,0,1,0,1,0
Amanda LaVoy,0,0,,,4/3/198,,0,1,0,1,0,2,0
Denis Lavrentyev,"5' 8""", 135 lbs,Mixed Martial Artist,,33,,0,0,0,0,3,1,0
Anatoly Lavrov,0,0,,,,,0,0,0,0,0,1,0
Cody Law,"5' 7""", 145 lbs,,USA,27,,4,0,1,0,6,2,0
Jason Law,0,0,,,,,0,0,0,1,0,1,0
John Andrew Law,0,0,,USA,7/1/198,,0,0,0,1,1,1,0
Shaun Law,0,0,,,,,0,1,0,0,0,1,0
Sonny Law,0,0,,USA,9/8/198,,0,1,0,0,0,1,0
Muhammed Lawal,"6' 0""", 205 lbs,Wrestling,,42,Southpaw,13,7,0,0,21,10,0
Brian Lawitan,0,0,,,,,0,0,0,0,0,1,0
Robbie Lawler,"5' 11""", 171 lbs,Striker,USA,40,Southpaw,21,3,1,6,29,16,0
Tom Lawlor,"6' 0""", 205 lbs,Wrestling,USA,39,Southpaw,4,0,4,3,11,8,0
Austin Lawrence,0,0,,,,,0,1,0,0,0,1,0
BJ Lawrence,0,0,,,,,0,1,0,0,0,1,0
Branden Lawrence,0,0,,,,,0,0,0,1,0,1,0
Josh Lawrence,0,0,,,,,0,0,0,1,0,1,0
Justin Lawrence,0,0,,USA,5/15/199,Orthodox,5,1,1,1,11,5,0
Lance Lawrence,"6' 0""", 145 lbs,,USA,29,Orthodox,0,0,5,0,5,2,0
Mike Lawrence,"5' 11""", 145 lbs,Freestyle,USA,41,,0,1,0,2,0,4,0
Paul Lawrence,0,0,,Ireland,,,0,1,0,0,0,1,0
Ronnie Lawrence,"5' 8""", 135 lbs,Freestyle,USA,30,Switch,4,0,0,0,8,2,0
Chad Lawshe,0,0,,,,,0,0,0,1,0,1,0
Danny Lawson,0,0,,,4/3/198,,0,0,0,1,0,1,0
Eric Lawson,0,0,,,,Orthodox,1,0,4,3,5,3,0
Holly Lawson,0,0,,,,,0,0,0,0,0,1,0
Jeff Lawson,0,0,,,,,0,0,0,2,0,2,0
Jimmy Lawson,"6' 0""", 263 lbs,,USA,31,Orthodox,4,0,0,0,4,2,0
Roggy Lawson,0,0,,France,,,0,2,0,0,0,2,0
Jarod Lawton,0,0,,,,,0,0,1,0,1,1,0
Jani Lax,0,0,,,,,0,1,1,0,2,1,0
Jules Layani,0,0,,France,,,0,0,0,0,0,1,0
William Layton,0,0,,,,,0,1,0,0,0,1,0
Valmir Lazaro,0,0,,Brazil,8/15/198,Orthodox,9,1,0,1,13,4,0
Andrew Braulio Lazaro Chiguano,0,0,,,,,0,0,0,1,0,1,0
Martin Lazarov,0,0,,,,,0,0,0,1,0,1,0
Arif Lazart,0,0,,Argentina,,,0,1,0,0,0,1,0
Marcin Lazarz,0,0,,Poland,1/29/198,,2,1,2,2,8,5,0
Anton Lazebnov,0,0,,,,,0,0,0,1,0,1,0
Sasa Lazic,0,0,,,,,0,5,0,4,0,10,0
Savo Lazic,"5' 10""", 155 lbs,,Montenegro,34,,0,1,0,0,0,3,0
Zviad Lazishvili,"5' 6""", 135 lbs,Striker,Georgia,31,Orthodox,0,0,9,0,13,1,0
Andrew Lazo,0,0,,,,,0,0,0,1,0,1,0
Vitaly Lazovski,0,0,,,,,0,1,0,0,0,1,0
Adam Lazowski,0,0,,,,,0,1,0,0,0,1,0
Evgeniy Lazukov,0,0,,,,,0,1,0,0,1,1,0
Dmitry Lazurin,0,0,,Russia,,,0,0,0,1,0,1,0
Cristiano Lazzarini,0,0,,,5/2/197,,0,1,0,0,0,2,0
Mounir Lazzez,"6' 1""", 171 lbs,Mixed Martial Artist,Tunisia,35,Orthodox,8,1,0,1,11,3,0
Binh Son Le,"5' 5""", 125 lbs,,Sweden,34,,0,0,0,0,0,1,0
Cung Le,0,0,,,5/25/197,Southpaw,8,3,0,0,9,3,0
Thanh Le,"5' 9""", 145 lbs,,USA,37,Orthodox,11,1,1,1,12,3,0
Jerome Le Banner,0,0,,,12/26/197,,0,0,0,1,0,1,0
Alessandro Leal,0,0,,,,,0,1,1,0,1,1,0
Carlos Leal,"5' 11""", 171 lbs,,Brazil,28,,6,0,2,1,17,4,0
Elaine Leal,"5' 5""", 115 lbs,,Brazil,33,,0,0,1,3,1,5,0
Iuri Silva Leal,0,0,,,1/17/198,,0,0,1,2,1,2,0
Nalo Leal,0,0,,,,,0,0,0,1,0,1,0
Nilson Leal,0,0,,,,,0,0,0,0,0,1,0
Renan Leal,0,0,,Brazil,2/22/198,,0,0,0,1,0,2,0
Sergio Leal,0,0,,,,,0,0,0,1,0,1,0
Kerisson Leal de Rezende,"6' 4""", 255 lbs,,Brazil,26,,0,1,0,0,0,1,0
Helderson Leal Martins,0,0,,,,,0,0,0,1,0,1,0
Max Leali,0,0,Aoriqileng,USA,,,0,0,0,0,0,1,0
Artur Leandro,0,0,,Brazil,11/30/199,,0,0,0,1,0,1,0
Vitor Leandro,0,0,,Brazil,,,0,1,0,1,0,2,0
Alexandre Leao,0,0,,,,,0,1,0,1,0,2,0
Amanda Leao,0,0,,Brazil,,,0,1,0,0,0,1,0
Joel Leao,0,0,,,,,0,1,0,0,0,1,0
Pedro Leao,0,0,,,,,0,1,0,0,0,1,0
Brian Learn,0,0,,,,,0,1,0,0,0,1,0
Julian Learned,0,0,,,,,0,0,0,0,1,0,0
Charlie Leary,"6' 0""", 155 lbs,,England,40,,10,3,2,3,17,13,1
Adrian Leatuna,0,0,,,,,0,1,0,0,0,1,0
Jordan Leavitt,"5' 9""", 155 lbs,,USA,27,Southpaw,1,0,6,1,10,2,0
Fred Leavy,0,0,,,,,0,1,0,0,1,1,0
Jerome LeBanner,0,0,,,12/26/197,Southpaw,1,0,0,0,1,1,0
Chris Leben,0,0,,,7/21/198,Southpaw,12,4,5,2,22,11,0
John LeBlanc,0,0,,,,,0,1,0,1,0,2,0
Julien LeBlanc,"6' 2""", 185 lbs,,Canada,31,,2,0,3,0,5,2,0
Nicolas Leblond,0,0,,France,,,1,0,3,0,6,4,0
Jean-Paul Lebosnoyani,"5' 11""", 155 lbs,,USA,24,,1,1,4,0,5,1,0
Mickael Lebout,"5' 11""", 155 lbs,,France,35,Orthodox,2,2,8,0,23,11,2
Franck LeBouyonnec,0,0,,,,,0,0,0,1,0,1,0
Ronald LeBreton Jr.,0,0,,,,,0,1,0,1,0,2,0
Andres Lebron,0,0,,,,,0,0,0,1,0,1,0
Elvis Lebron-Quiles,"5' 11""", 156 lbs,,Puerto Rico,27,,0,0,0,0,0,1,0
Aaron Lebrun,0,0,,,,,0,0,0,1,0,1,0
Travis Lebrun,0,0,,USA,,,0,0,0,2,0,2,0
Hubert Lech,0,0,,Poland,,,0,0,0,0,1,0,0
Jaroslaw Lech,0,0,,,,,0,0,0,0,0,1,0
Kyle Lechner,0,0,,,,,0,1,0,0,0,1,0
Napoleon Lechuga,0,0,,,,,0,0,0,1,0,1,0
Eric LeClerc,0,0,,,,,0,0,0,0,0,1,0
Thierry Lecourt,0,0,,,,,0,0,0,1,0,1,0
Stephen Ledbetter,0,0,,,,Orthodox,0,0,1,1,1,2,0
Tony Ledbetter,0,0,,,,,0,1,0,0,0,1,0
Claudio Ledesma,"5' 7""", 125 lbs,,USA,39,,2,1,3,0,12,9,0
Justin Ledet,"6' 4""", 205 lbs,"Striker, Freestyle",USA,34,Orthodox,2,2,5,0,9,4,0
Rafael Ledezma,0,0,,,,,0,1,0,0,0,1,0
Wesley Ledford,0,0,,USA,21,,0,0,0,1,0,1,0
Bobby Ledkins,0,0,,USA,5/26/199,,0,1,0,0,0,1,0
Aiden Lee,"6' 0""", 145 lbs,,England,27,,2,1,6,1,10,6,0
Akkim Lee,0,0,,USA,,,0,1,0,1,0,2,0
Albert Lee,"5' 9""", 15 lbs,,USA,,,0,0,0,0,0,1,0
Alex Lee,0,0,,,,,0,0,0,1,0,1,0
Allan Lee,0,0,,,,,1,0,0,0,1,1,0
Andrea Lee,"5' 6""", 125 lbs,,USA,33,Orthodox,3,0,5,1,13,6,0
Angela Lee,"5' 4""", 115 lbs,Striker,USA,26,,1,1,8,0,11,3,0
Bobby Lee,"5' 9""", 157 lbs,,USA,27,,2,0,7,3,13,7,0
Brad Lee,"6' 4""", 247 lbs,,USA,32,,0,1,0,0,0,1,0
Brent Lee,0,0,,USA,,,0,0,0,1,0,1,0
Chris Lee,0,0,,,,,0,0,1,0,1,0,0
Christian Lee,"5' 10""", 170 lbs,,USA,24,,12,0,4,1,17,4,0
Dae Yeon Lee,0,0,,,,,0,1,0,0,0,1,0
David Lee,0,0,,England,,Orthodox,0,2,2,3,2,5,0
Dayse Lee,0,0,,,,,0,1,0,0,0,1,0
Do Gyeom Lee,"5' 7""", 145 lbs,,Korea,32,,5,3,2,1,8,5,0
Dong Jin Lee,0,0,,,,,0,1,0,0,0,1,0
Dong Young Lee,0,0,,South Korea,3/26/198,,0,0,0,0,0,1,0
Dool Hee Lee,0,0,,,,,0,3,0,1,0,4,0
Eun Soo Lee,0,0,,,3/7/198,Orthodox,0,2,0,0,0,2,0
Gyu Myung Lee,0,0,,,,,0,0,0,1,0,1,0
Han Keun Lee,0,0,,,,,0,0,0,0,0,1,0
Han Sol Lee,0,0,,,1/3/198,,0,0,0,1,0,1,0
Hee Jin Lee,0,0,,,,,0,0,0,1,0,2,0
Hoo Sun Lee,0,0,,,,,0,0,0,2,0,2,0
Hyun Gwan Lee,0,0,,,,,0,1,0,0,0,1,0
Hyun Jin Lee,"6' 1""", 145 lbs,,Korea,,,0,1,0,0,0,1,0
Hyun Soo Lee,0,0,,,,,0,1,0,0,0,1,0
Hyung Geol Lee,0,0,,,,,0,1,0,1,0,2,0
Hyung Seok Lee,0,0,,Korea,3/25/198,,0,0,0,1,0,3,0
Imani Lee,0,0,,,,Orthodox,0,1,0,2,0,3,0
Jackie Lee,0,0,,,,,0,1,0,0,0,1,0
Jae Sun Lee,0,0,,,2/17/198,,0,0,0,1,0,1,0
James Lee,0,0,,,9/22/197,Southpaw,0,1,3,1,3,2,0
Jamie Lee,0,0,,England,,,0,1,0,0,0,1,0
Jason Lee,0,0,,,,,0,4,0,1,0,6,0
Jeong Ho Lee,0,0,,,,,0,0,1,0,1,0,0
JeongYeong Lee,"5' 10""", 145 lbs,,Korea,27,Orthodox,4,0,4,0,11,1,0
Jhon Lee,0,0,,,,,0,0,0,1,0,1,0
John Lee,0,0,,,,,0,0,0,1,0,1,0
Jong Gyuk Lee,0,0,,,,,0,0,0,1,0,1,0
Jong Wha Lee,0,0,,,,,0,1,0,0,0,1,0
Josh Lee,"5' 11""", 170 lbs,,USA,,,0,2,0,2,0,5,0
Joshua Lee,0,0,,,4/2/198,,0,1,0,2,0,3,0
Jung Gyeong Lee,0,0,,,,,0,0,0,1,0,1,0
Keith Lee,"5' 9""", 145 lbs,,USA,26,,3,0,1,1,8,5,0
Kevin Lee,"5' 9""", 165 lbs,,USA,30,Orthodox,3,1,8,3,19,7,0
Kil Woo Lee,0,0,,,,,0,1,0,1,1,2,0
Kwang Hee Lee,0,0,,,,,3,3,0,1,4,4,0
Matt Lee,0,0,,,7/9/197,Orthodox,1,3,0,1,2,6,1
Mike Lee,0,0,,,,,0,0,0,2,0,2,0
Miles Lee,"5' 10""", 185 lbs,,USA,25,,0,0,0,1,0,1,0
Min Gu Lee,0,0,,South Korea,2/14/199,,0,1,0,0,0,2,0
Min Hyuk Lee,0,0,,South Korea,,,0,1,0,0,0,1,0
Min Joo Lee,0,0,,Korea,,,0,1,0,0,0,1,0
Nicholas Lee,0,0,,,,,0,0,1,0,1,0,0
Rocky Lee,0,0,,Taiwan,4/8/198,Orthodox,0,0,2,0,3,2,0
Ryan Lee,0,0,,,,,0,1,0,0,0,1,0
Sang II Lee,0,0,,,,,0,0,0,0,0,1,0
Sang Soo Lee,0,0,,,4/5/198,,1,1,0,1,2,4,1
Sang-Hyun Lee,0,0,,,,,1,0,0,0,1,0,0
Shun Lee,0,0,,,,,0,0,0,1,0,1,0
Simon Lee,0,0,,,,,0,1,0,0,0,1,0
Suk-Young Lee,0,0,,,,,0,1,0,0,0,1,0
Sung Beak Lee,0,0,,Korea,,,0,1,0,0,0,1,0
Sung Jong Lee,"5' 6""", 155 lbs,,,,,0,2,0,1,0,3,0
Sung Soo Lee,0,0,,,,,0,1,0,0,1,1,0
Tae Hyun Lee,0,0,,,,Orthodox,0,2,0,0,0,2,0
Tae Joo Lee,0,0,,,,,0,1,0,0,0,1,0
Tommy Lee,0,0,,,,Orthodox,1,0,0,3,1,3,0
Ty Lee,0,0,,,,,0,1,0,1,0,2,0
Tyler Lee,"6' 1""", 246 lbs,Wrestling,USA,31,,0,2,0,0,0,2,0
Vaughan Lee,0,0,,England,10/15/198,Orthodox,4,4,7,6,14,14,1
Victoria Lee,"5' 5""", 115 lbs,,USA,18,,1,0,2,0,3,0,0
Woong Hee Lee,0,0,Alatengheili,,,,0,0,0,0,0,1,0
Ye Ji Lee,0,0,,,7/3/199,,0,0,0,0,0,1,0
Yong Jae Lee,0,0,,,,,0,1,0,2,1,3,0
Yoon Jin Lee,0,0,,,,,0,0,0,0,0,1,0
Yoon Jun Lee,0,0,,,7/16/198,,1,0,0,1,3,1,0
Youn Hyun Lee,0,0,,South Korea,,,0,1,0,0,0,1,0
Young Joon Lee,0,0,,,,,0,1,0,0,0,1,0
Anthony Lee-El,0,0,,,,,0,0,0,0,1,0,0
Shane Lees,0,0,,,,,0,0,1,0,1,1,0
Francisco Lefebvre,0,0,,,,,0,1,0,0,0,1,0
Frederic Lefevre,0,0,,,,,0,0,0,2,0,2,0
Dmitriy Legaev,0,0,,,,,0,1,0,0,0,1,0
Jerry Legaspai,0,0,,,,,0,1,0,0,0,1,0
Dave Legeno,0,0,,,,,0,0,0,0,1,0,0
Ricky Legere Jr.,0,0,,,12/21/198,,8,3,9,2,19,7,0
Elijah Leggett,"5' 8""", 145 lbs,,USA,,,0,0,0,0,1,1,0
Sherron Leggett,0,0,,,,Southpaw,1,1,0,1,3,3,0
Mateusz Legierski,"5' 10""", 170 lbs,,Poland,26,,4,1,1,0,7,1,0
Yohan Mulia Legowo,0,0,,,,,0,1,0,1,0,2,0
Phillip LeGrand,0,0,,,,,0,0,0,0,0,1,0
Adam Lehman,0,0,,,,,0,1,0,3,0,5,0
Finn Lehmann,0,0,,Germany,,,0,1,0,0,0,2,0
Katharina Lehner,"5' 6""", 135 lbs,,Germany,32,,1,0,0,2,7,4,0
Wang Lei,0,0,,,,,0,1,0,0,0,1,0
Xu Lei,0,0,,,,,0,0,0,0,0,0,1
Cheyden Leialoha,"5' 8""", 135 lbs,,USA,28,Orthodox,1,0,4,0,7,2,0
Brandon Leibrandt,0,0,,,,Southpaw,0,0,0,0,0,0,0
Amber Leibrock,"5' 11""", 145 lbs,,USA,34,,4,3,1,1,6,4,0
Jose Alfredo Leija,"5' 11""", 185 lbs,,USA,40,,1,2,0,1,1,3,0
Harley Leimbach,0,0,,,,,0,0,0,1,0,1,0
Ryan Leininger,"6' 3""", 170 lbs,,USA,26,,0,1,1,0,1,1,0
Billy Leishner,0,0,,USA,,,0,0,0,1,0,1,0
Alonzo Leisholm Jr.,0,0,Mixed Martial Artist,,,,0,1,0,0,0,1,0
Thomas Leisman,0,0,,,,,0,0,1,0,1,0,0
Lauris Leitans,0,0,,,,,0,1,0,0,0,1,0
Fernando Leitao,0,0,,,2/12/198,,0,0,0,0,0,1,0
Alex Leite,0,0,,,,,0,0,0,0,0,1,0
Claudia Leite,"5' 3""", 136 lbs,,Brazil,26,Orthodox,4,1,1,0,8,3,0
Elaine Leite,0,0,,,,,0,1,0,1,0,2,0
Juliana Leite,0,0,,,,,0,1,0,1,0,2,0
Leonardo Leite,0,0,,,3/23/197,,3,0,2,0,9,2,0
Natan Leite,0,0,,Brazil,,,0,0,0,1,0,1,0
Peterson Leite,0,0,,,,,1,0,0,0,1,0,0
Nick Leitermann,0,0,,,,,0,1,0,0,0,1,0
Dimanche Lek,0,0,,,,,0,1,0,0,0,1,0
Robert Lek,0,0,,,,,0,0,0,1,0,1,0
Amir Lekaj,0,0,,,,,0,1,0,1,0,2,0
Stefan Leko,0,0,,,,Orthodox,0,1,0,2,0,3,0
Elias Leland,0,0,,,,,0,1,0,1,0,2,0
Daniel Lelandowski,0,0,,,,,0,0,0,1,0,1,0
Armando Lelis,0,0,,,,,0,0,0,0,0,1,0
Djo Lema,0,0,,,,,0,0,0,1,0,1,0
Mike Lemaire,0,0,,,,,0,0,0,1,0,2,0
Terry Lemaire,0,0,,,,,0,1,0,0,0,1,0
Rasim Lemberanskij,0,0,,,,,0,0,0,0,0,1,0
Jonathan Lemke,0,0,,,,,4,1,0,5,6,8,0
Justin Lemke,0,0,,,,,0,1,0,0,1,1,0
Mark Lemminger,"6' 0""", 170 lbs,,USA,29,,6,4,3,1,12,6,0
Curt Lemmon,0,0,,,,,0,0,0,0,0,1,0
Anthony Lemon,0,0,,,,,0,0,0,5,0,5,0
Gus Lemon,0,0,,,,,0,1,0,0,0,1,0
Aida Lemos,0,0,,Brazil,,,0,1,0,0,0,1,0
Amanda Lemos,"5' 4""", 115 lbs,"Muay Thai, Striker",Brazil,35,Southpaw,8,1,3,1,13,2,1
Artur Lemos,0,0,,,,,0,0,1,1,1,3,0
Giacomo Lemos,"6' 3""", 247 lbs,Striker,Brazil,33,Orthodox,6,0,2,0,8,0,0
Guilherme Lemos,0,0,,Brazil,,,0,1,0,0,0,1,0
Willker Lemos,"5' 10""", 170 lbs,,Brazil,32,,1,1,1,0,2,1,0
Kery Lenard,0,0,,,,,1,0,0,0,1,0,0
Cris Lencioni,"5' 10""", 145 lbs,,USA,28,,0,0,5,0,9,3,0
Bogdan Lenda,0,0,,,,,0,0,0,1,0,1,0
Evgeny Lenichev,0,0,,Russia,,,0,1,0,0,0,1,0
Josh Lening,0,0,,,,,0,1,0,0,0,1,0
Christophe Leninger,0,0,,,,Southpaw,0,1,0,0,0,2,0
Felise Leniu,0,0,,Australia,,,0,2,0,1,0,3,0
Karsten Lenjoint,0,0,,,,,0,0,1,0,1,1,0
Jesse Lennox,0,0,,,,Orthodox,2,0,0,1,2,3,0
Joao Leno,0,0,,,,,0,1,0,0,0,1,0
Eddie Lenoci,0,0,,,,,0,3,0,0,2,3,0
Jean Francois Lenogue,0,0,,,,Orthodox,1,1,0,2,1,6,0
Steve Lenormand,0,0,,France,,,0,1,0,0,0,1,0
Jeff Lentz,"5' 9""", 145 lbs,,USA,33,,6,0,1,0,11,7,1
Nik Lentz,"5' 8""", 150 lbs,Wrestling,USA,38,Orthodox,11,3,8,2,30,12,2
Florian Lenz,0,0,,,,,0,0,0,0,0,1,0
Sterling Lenz,0,0,,USA,6/3/198,,0,0,0,1,0,1,0
Andrei Lenzhen,0,0,,Russia,,,0,0,0,0,0,1,0
Ivan Leo,0,0,,Italy,,,0,1,0,1,0,2,0
Joe Leo,0,0,,,,,0,0,0,0,0,2,0
Kelly Leo,0,0,,,,,0,1,0,0,0,1,0
Andre Leocadio,0,0,,,,,0,0,0,0,0,2,0
Alberta Cerra Leon,0,0,,,,,0,0,0,1,0,1,0
Ismael Leon,0,0,,,,,0,0,0,1,0,1,0
Jason Leon,0,0,,,,,0,0,0,0,0,1,0
Jonathan Leon,0,0,,,,,0,0,1,1,2,1,0
Jose Leon,"5' 6""", 135 lbs,Freestyle,USA,28,,0,0,0,1,0,1,0
Monica Leon,0,0,,,,,0,1,0,0,0,1,0
Christian Leonard,0,0,,USA,9/13/199,,0,1,0,0,1,3,0
Michael Leonard,0,0,,,,,0,0,2,0,2,0,0
Bruno Leonardo,"6' 1""", 243 lbs,,Brazil,33,,0,0,0,0,0,1,0
David Leonardo,0,0,,Indonesia,,,0,0,0,1,0,1,0
Victoria Leonardo,"5' 5""", 125 lbs,Kung Fu,USA,32,Orthodox,1,3,4,1,9,5,0
Patrick Leondes,0,0,,,,,0,0,0,0,0,1,0
Andrew Leone,0,0,,,,,0,1,2,3,8,4,0
Anthony Leone,0,0,,,5/27/198,Orthodox,0,1,7,4,14,8,0
Chad Leonhardt,0,0,,,2/19/198,,1,1,0,0,1,1,0
Vladimir Leontyev,"5' 8""", 135 lbs,,Russia,25,,0,0,0,0,0,1,0
Fabio Leopoldo,0,0,,,4/17/197,,1,2,2,1,5,3,0
Kimo Leopoldo,0,0,,,,Orthodox,2,1,2,3,4,5,1
Tamara Leorde,0,0,,,,,0,1,0,0,0,1,0
Mae-Lin Leow,0,0,,,,,0,2,0,0,0,2,0
Antonio Lepe,0,0,,,,,0,1,0,0,0,1,0
Christian Lepe,0,0,,,9/8/199,,0,0,0,1,0,1,0
Arnaud Lepont,0,0,,,5/13/198,,2,2,9,3,12,5,0
Carlos Leppez,"6' 0""", 185 lbs,,Argentina,,,0,0,0,0,0,1,0
Zoltan Lepsenyi,0,0,,,,,0,0,0,1,0,1,0
Travis Lerchen,0,0,,,,,0,1,0,1,0,2,0
Alan Lerma,0,0,,,,,0,1,0,0,0,1,0
Michael Lerma,0,0,,,,,0,1,0,0,0,1,0
Robbie Leroux,0,0,,,,,0,1,0,1,0,3,0
Richard LeRoy,0,0,,,,,2,1,0,0,2,1,0
Daniel Les,0,0,,,,,0,1,0,0,0,1,0
Lukasz Les,0,0,,,,,0,1,0,0,0,1,0
Brendan Lesar,0,0,,South Africa,28,,0,0,0,1,0,1,0
Wiehan Lesh,0,0,,,,,0,0,0,1,0,1,0
Justin Lesko,0,0,,,4/22/198,,0,0,0,0,1,0,0
Brock Lesnar,0,0,,,7/12/197,Orthodox,3,2,1,1,5,3,0
Rogers Vitor Lessa,0,0,,Brazil,9/17/199,,0,0,0,0,0,1,0
Sidney Lessa,0,0,,,,,0,0,0,1,0,1,0
Donnie Lester,0,0,,,,,0,1,0,0,0,1,0
Frank Lester,0,0,,USA,6/10/198,Orthodox,0,0,0,2,0,3,0
Jay Lester,0,0,,,,,0,1,0,0,0,1,0
Greg Letch,0,0,,,,,0,0,0,2,0,2,0
Forest Letellier,0,0,,,,,0,0,0,1,0,1,0
Mathieu Letho Duclos,"6' 3""", 185 lbs,,France,,,0,1,0,1,1,2,0
Siitia Leti,0,0,,,,,0,0,0,0,0,1,0
Ashley Letourneau,0,0,,,,,0,1,0,0,0,1,0
Valerie Letourneau,0,0,,Canada,4/29/198,Orthodox,4,2,1,1,10,7,0
Leah Letson,"5' 7""", 145 lbs,,USA,30,,3,2,0,0,5,3,0
Matyas Levante,0,0,,,,,0,1,0,0,0,1,0
Joe Levasseur,0,0,,USA,,,0,1,0,1,0,2,0
Denis Levchenko,0,0,,Russia,,,0,0,0,1,0,1,0
Amanda Leve,"5' 8""", 145 lbs,,USA,26,,0,0,1,0,1,0,0
Jon Leven,0,0,,,,,0,1,0,1,0,2,0
Justin Levens,0,0,,,,Orthodox,0,3,1,1,1,5,0
C.J. Leveque,0,0,,,4/26/198,,4,6,1,3,8,9,0
Kris Leverton,0,0,,,,,0,0,0,1,0,1,0
Shawn Levesque,0,0,,,,,0,0,0,1,0,1,0
Marcus LeVesseur,0,0,,USA,7/17/198,Southpaw,10,4,7,3,22,7,0
Marcus Levester,"5' 8""", 145 lbs,,USA,31,,0,1,0,1,0,3,0
Aniko Levi,0,0,,,,,0,1,0,0,0,1,0
Becky Levi,0,0,,,,,0,0,0,1,0,1,0
Eldad Levi,0,0,,,,,0,1,0,0,0,1,0
Judith Levi,0,0,,France,,,0,1,0,1,0,2,0
Tadas Levickas,0,0,,,,,0,0,0,1,0,1,0
David Levicki,0,0,,,,,0,1,0,0,0,1,0
Austin Levine,"5' 11""", 259 lbs,,USA,28,,0,1,0,0,0,1,0
Rebekah Levine,0,0,,,,,0,0,1,0,1,1,0
Kyle Levinton,0,0,,,,,0,1,0,1,0,2,0
Amos Levy,0,0,,Israel,,,0,0,0,0,0,1,0
