Fighter,Height,Weight,Style(op),Country,Age,Stance,Wins KO,Losses Ko,Wins Sub,Losses Sub,Total Wins,Total Losses,Total Draw
James Acosta,"5' 6""", 135 lbs,,USA,,,1,0,0,1,1,1,0
Jorge Acosta,0,0,,,,,0,1,0,0,0,1,0
Lucero Acosta,"5' 6""", 125 lbs,,USA,,,0,0,0,0,0,1,0
Mike Acosta,0,0,,,,,0,0,0,0,1,0,0
Nayra Acosta,0,0,,,,,0,1,0,0,0,1,0
Omar Acosta,0,0,,,,,0,2,0,0,0,2,0
Ralph Acosta,"5' 6""", 125 lbs,,USA,41,,3,2,10,5,17,14,0
Roque Acosta,0,0,,Paraguay,,,0,0,0,1,0,1,0
Adam Acquaviva,0,0,,USA,7/10/199,,2,1,1,0,4,1,0
Laszlo Acs,0,0,,,,,0,0,0,0,0,1,0
Daniel Acuna,0,0,,,,,0,0,0,0,0,1,0
Eric Acuna,0,0,,,,,0,1,0,0,0,2,0
Fabian Acuna,0,0,,,,,0,0,0,1,0,1,0
Jose Acuna,0,0,,,,,0,0,0,0,0,1,0
Amirkhan Adaev,0,0,,,,,0,2,0,0,0,3,0
John Adajar,"5' 9""", 170 lbs,,Philippines,31,Orthodox,6,1,0,1,6,2,0
Marco Adamballi,0,0,,,,,0,1,0,0,0,1,0
Sergey Adamchuk,0,0,,,,,0,0,0,1,0,1,0
Rumen Blagovestov,0,0,,,,,0,1,0,0,0,1,0
Lasio Blaho,0,0,,,,,1,0,0,0,1,0,0
Lisa Blaine,0,0,,USA,,,1,1,0,0,2,2,0
Elliot Blair,0,0,,,,,0,0,0,1,0,1,0
James Blair,0,0,,USA,8/2/198,,0,0,0,0,0,1,0
Terry Blair,0,0,,,,,0,0,0,1,0,1,0
Thomas Blair,0,0,,USA,12/7/198,,0,0,0,1,0,2,0
Chris Blaire,0,0,,,,,0,0,1,0,1,0,0
Dustin Blake,0,0,,,,,0,0,1,0,1,1,0
Nick Blake,0,0,,,,,0,0,0,0,0,1,0
Richard Blake,0,0,,,,,0,3,0,2,0,5,0
Michelle Blalock,0,0,,,,,0,0,0,1,0,1,0
Ana Paula Blanc,0,0,,,,,0,1,0,0,0,1,0
Charles Blanchard,0,0,,,,,0,0,0,2,2,3,0
Joshua Blanchard,0,0,,USA,,,0,2,0,0,0,2,0
Sharome Blanchard,0,0,,,,,0,1,0,0,0,1,0
Erin Blanchfield,"5' 4""", 125 lbs,Striker,USA,23,Orthodox,2,0,3,0,10,1,0
Dominic Blanco,0,0,,,,,0,1,1,0,1,1,0
Keagon Blanco,0,0,,,,,0,0,0,0,0,1,0
Mauricio Blanco,"6' 2""", 260 lbs,,Nicaragua,34,,1,0,0,1,1,1,0
Maximo Blanco,0,0,,Venezuela,10/16/198,Orthodox,8,0,0,4,12,8,1
Aron Bland,0,0,,,,,0,0,0,1,0,1,0
B.J. Bland,"5' 9""", 155 lbs,,New Zealand,,,2,5,8,2,16,11,0
Constantin Blanita,"5' 8""", 145 lbs,,Ireland,,,0,0,0,0,1,0,0
Jeremy Blanton,0,0,,USA,,,0,1,0,0,0,1,0
Joel Blanton,0,0,,,5/21/197,,0,1,0,1,0,2,0
Alberto Blas,0,0,,Cuba,10/8/199,,0,0,0,1,0,1,0
Leonardo Blasco,0,0,,,,,0,0,0,0,0,1,0
Justin Blasich,0,0,,,,,0,0,0,1,0,1,0
Antoine Blassingame,0,0,,USA,,,0,1,0,0,1,1,0
Hugo Blatter,0,0,,,,,0,0,0,1,0,1,0
Curtis Blaydes,"6' 4""", 260 lbs,"Wrestling, Striker",USA,31,Orthodox,12,3,0,0,17,3,0
Theresa Blaz,0,0,,,,,0,0,0,0,0,1,0
Matija Blazicevic,0,0,,Croatia,2/1/198,,0,0,0,1,0,4,0
Corey Bleaken,0,0,,,,,0,0,0,0,0,2,0
Marvin Arnold Bleau,0,0,,,,,0,3,0,1,0,4,0
Nikola Blecic,0,0,,,,,0,0,0,0,0,1,0
Tereza Bleda,"5' 9""", 125 lbs,Taekwondo,Czech Republic,21,Orthodox,2,1,2,0,6,1,0
Brandon Bledsoe,0,0,,,,,0,1,0,3,0,4,0
Kyle Bledsoe,0,0,,,,,0,1,0,0,0,1,0
Arlene Blencowe,"5' 6""", 145 lbs,Striker,Australia,39,,8,0,1,5,15,9,0
Nick Bleser,0,0,,USA,12/28/198,,0,1,0,1,0,2,0
Adrian Bleszynski,"6' 0""", 185 lbs,,Poland,,,0,0,0,0,0,2,1
Chris Blevins,0,0,,,,,0,1,0,1,0,2,0
Scott Blevins,0,0,,,,,0,0,0,1,0,1,0
Patrick Blight,0,0,,Northern Ireland,,,0,0,0,2,0,2,0
Jordan Bloch,0,0,,,2/16/198,,0,1,0,0,0,2,0
Darren Block,0,0,,,,,0,1,0,0,0,1,0
Mike Block,0,0,,,,,0,1,0,0,0,1,0
Ray Blodgett,0,0,,,,,0,1,1,0,2,2,0
