,Fighter,Height,Weight(lbs),Style(op),Country,Age,Stance,Reach,WT_class,Date,Opponent,Res.,Decision,Rnd,Time,Event,W,L,D,Oppo_Style(op),Oppo_Country,Oppo_Age,Oppo_Stance,Oppo_Reach,Oppo_WT_class,BMI,Win_Percentage,Day,Month,Year,Oppo_W,Oppo_L,Oppo_D,Oppo_Win_Percentage
4507,Fares Ziam,73,156,Kick Boxing,France,25,Orthodox,75,Lightweight,2022-09-03,Michal Figlak,W,Decision - Unanimous,3,05:00,UFC Fight Night: Gane vs. Tuivasa,12,4,0,Kick Boxing,England,26,Orthodox,70,Lightweight,20.579470820041283,75.0,3,9,2022,8,0,0,100.0
4510,Fares Ziam,73,156,Kick Boxing,France,25,Orthodox,75,Lightweight,2020-10-17,Jamie Mullarkey,W,Decision - Unanimous,3,05:00,UFC Fight Night: Ortega vs. The Korean Zombie,10,3,0,Striker,Australia,28,Orthodox,74,Lightweight,20.579470820041283,76.92307692307693,17,10,2020,12,3,0,80.0
4525,Fedor Emelianenko,72,233,Wrestling,Russia,46,Orthodox,74,Heavyweight,2019-12-28,Quinton Jackson,W,KO/TKO,1,02:44,Bellator 237: Fedor vs. Rampage,38,6,1,Striker,USA,44,Orthodox,73,Light Heavyweight,31.59702932098765,84.44444444444444,28,12,2019,38,13,0,74.50980392156863
4571,Felice Herrig,64,115,Muay Thai,USA,38,Orthodox,65,Women's Strawweight,2022-06-04,Karolina Kowalkiewicz,L,Submission,2,04:01,UFC Fight Night: Volkov vs. Rozenstruik,14,9,0,Striker,Poland,37,Orthodox,64,Women's Strawweight,19.737548828125,60.86956521739131,4,6,2022,12,7,0,63.1578947368421
4574,Felice Herrig,64,115,Muay Thai,USA,38,Orthodox,65,Women's Strawweight,2018-04-07,Karolina Kowalkiewicz,L,Decision - Split,3,05:00,UFC 223: Khabib vs. Iaquinta,14,6,0,Striker,Poland,37,Orthodox,64,Women's Strawweight,19.737548828125,70.0,7,4,2018,11,2,0,84.61538461538461
4579,Felice Herrig,64,115,Muay Thai,USA,38,Orthodox,65,Women's Strawweight,2015-04-18,Paige VanZant,L,Decision - Unanimous,3,05:00,UFC on Fox: Machida vs. Rockhold,10,5,0,Judo,USA,28,Orthodox,65,Women's Flyweight,19.737548828125,66.66666666666666,18,4,2015,4,1,0,80.0
4596,Fernie Garcia,67,135,Mixed Martial Artist,USA,30,Orthodox,67,Bantamweight,2022-05-07,Journey Newson,L,Decision - Unanimous,3,05:00,UFC 274: Oliveira vs. Gaethje,10,1,0,Mixed Martial Artist,USA,33,Orthodox,67,Bantamweight,21.14167966139452,90.9090909090909,7,5,2022,9,3,1,69.23076923076923
4597,Fernie Garcia,67,135,Mixed Martial Artist,USA,30,Orthodox,67,Bantamweight,2021-10-05,Joshua Weems,W,KO/TKO,1,02:10,"Dana White's Contender Series: Season 5, Week 6",9,1,0,Freestyle,USA,28,Orthodox,69,Bantamweight,21.14167966139452,90.0,5,10,2021,8,1,0,88.88888888888889
4608,Francis Marshall,69,145,Mixed Martial Artist,USA,23,Orthodox,72,Featherweight,2022-12-03,Marcelo Rojo,W,KO/TKO,2,01:14,UFC Fight Night: Thompson vs. Holland,6,0,0,Mixed Martial Artist,Argentina,34,Orthodox,71,Featherweight,21.41041797941609,100.0,3,12,2022,16,9,0,64.0
4616,Francis Ngannou,76,257,Striker,Cameroon,36,Orthodox,83,Heavyweight,2021-03-27,Stipe Miocic,W,KO/TKO,2,00:52,UFC 260: Miocic vs. Ngannou 2,15,3,0,Wrestling,USA,40,Orthodox,80,Heavyweight,31.279605263157894,83.33333333333334,27,3,2021,20,3,0,86.95652173913044
4617,Francis Ngannou,76,257,Striker,Cameroon,36,Orthodox,83,Heavyweight,2020-05-09,Jairzinho Rozenstruik,W,KO/TKO,1,00:20,UFC 249: Ferguson vs. Gaethje,14,3,0,Striker,Suriname,34,Orthodox,78,Heavyweight,31.279605263157894,82.35294117647058,9,5,2020,10,0,0,100.0
4618,Francis Ngannou,76,257,Striker,Cameroon,36,Orthodox,83,Heavyweight,2019-06-29,Junior Dos Santos,W,KO/TKO,1,01:11,UFC Fight Night: Ngannou vs. Dos Santos,13,3,0,Striker,Brazil,38,Orthodox,77,Heavyweight,31.279605263157894,81.25,29,6,2019,21,5,0,80.76923076923077
4622,Francis Ngannou,76,257,Striker,Cameroon,36,Orthodox,83,Heavyweight,2018-01-20,Stipe Miocic,L,Decision - Unanimous,5,05:00,UFC 220: Miocic vs. Ngannou,11,1,0,Wrestling,USA,40,Orthodox,80,Heavyweight,31.279605263157894,91.66666666666666,20,1,2018,17,2,0,89.47368421052632
4635,Francisco Rivera,68,135,Striker,USA,41,Orthodox,71,Bantamweight,2022-08-20,Teruto Ishihara,W,Decision - Unanimous,3,05:00,UNF 2: Up Next Fighting 2,14,9,1,Striker,Japan,31,Southpaw,69,Featherweight,20.524437716262977,58.333333333333336,20,8,2022,12,9,3,50.0
4637,Francisco Rivera,68,135,Striker,USA,41,Orthodox,71,Bantamweight,2021-05-29,Nohelin Hernandez,W,Decision - Unanimous,3,05:00,Combate Global: 2021 Bantamweight Tournament,13,8,1,Striker,USA,28,Orthodox,71,Bantamweight,20.524437716262977,59.09090909090909,29,5,2021,10,5,0,66.66666666666666
4643,Francisco Rivera,68,135,Striker,USA,41,Orthodox,71,Bantamweight,2015-09-05,John Lineker,L,Submission,1,02:08,UFC 191: Johnson vs. Dodson 2,11,4,1,Striker,Brazil,32,Orthodox,67,Bantamweight,20.524437716262977,68.75,5,9,2015,25,7,0,78.125
4645,Francisco Rivera,68,135,Striker,USA,41,Orthodox,71,Bantamweight,2014-12-06,Urijah Faber,L,Submission,2,01:34,UFC 181: Hendricks vs. Lawler 2,10,3,1,Striker,USA,43,Orthodox,67,Bantamweight,20.524437716262977,71.42857142857143,6,12,2014,31,7,0,81.57894736842105
4646,Francisco Rivera,68,135,Striker,USA,41,Orthodox,71,Bantamweight,2014-05-24,Takeya Mizugaki,L,Decision - Unanimous,3,05:00,UFC 173: Barao vs. Dillashaw,10,2,1,Mixed Martial Artist,Japan,39,Orthodox,68,Bantamweight,20.524437716262977,76.92307692307693,24,5,2014,19,7,2,67.85714285714286
4660,Francisco Trinaldo,69,170,Striker,Brazil,44,Southpaw,70,Lightweight,2022-10-01,Randy Brown,L,Decision - Unanimous,3,05:00,UFC Fight Night: Dern vs. Yan,28,8,0,Mixed Martial Artist,Jamaica,32,Orthodox,78,Welterweight,25.101869355177485,77.77777777777779,1,10,2022,15,4,0,78.94736842105263
4663,Francisco Trinaldo,69,170,Striker,Brazil,44,Southpaw,70,Lightweight,2021-06-05,Muslim Salikhov,L,Decision - Unanimous,3,05:00,UFC Fight Night: Rozenstruik vs. Sakai,26,7,0,Striker,Russia,38,Orthodox,70,Welterweight,25.101869355177485,78.78787878787878,5,6,2021,17,2,0,89.47368421052632
4664,Francisco Trinaldo,69,170,Striker,Brazil,44,Southpaw,70,Lightweight,2020-07-25,Jai Herbert,W,KO/TKO,3,01:30,UFC Fight Night: Whittaker vs. Till,25,7,0,Striker,England,34,Orthodox,77,Lightweight,25.101869355177485,78.125,25,7,2020,10,1,0,90.9090909090909
4665,Francisco Trinaldo,69,170,Striker,Brazil,44,Southpaw,70,Lightweight,2020-03-14,John Makdessi,W,Decision - Unanimous,3,05:00,UFC Fight Night: Lee vs. Oliveira,24,7,0,Striker,Canada,37,Orthodox,68,Lightweight,25.101869355177485,77.41935483870968,14,3,2020,17,6,0,73.91304347826086
4669,Francisco Trinaldo,69,170,Striker,Brazil,44,Southpaw,70,Lightweight,2018-02-18,James Vick,L,Decision - Unanimous,3,05:00,UFC Fight Night: Cowboy vs. Medeiros,22,5,0,Striker,USA,35,Orthodox,76,Welterweight,25.101869355177485,81.48148148148148,18,2,2018,12,1,0,92.3076923076923
4670,Francisco Trinaldo,69,170,Striker,Brazil,44,Southpaw,70,Lightweight,2017-10-28,Jim Miller,W,Decision - Unanimous,3,05:00,UFC Fight Night: Brunson vs. Machida,21,5,0,Wrestling,USA,39,Southpaw,71,Lightweight,25.101869355177485,80.76923076923077,28,10,2017,28,10,1,71.7948717948718
4672,Francisco Trinaldo,69,170,Striker,Brazil,44,Southpaw,70,Lightweight,2016-09-24,Paul Felder,W,TKO - Doctor's Stoppage,3,02:25,UFC Fight Night: Cyborg vs. Lansberg,20,4,0,Striker,USA,38,Orthodox,70,Lightweight,25.101869355177485,83.33333333333334,24,9,2016,12,2,0,85.71428571428571
4676,Francisco Trinaldo,69,170,Striker,Brazil,44,Southpaw,70,Lightweight,2015-05-30,Norman Parke,W,Decision - Unanimous,3,05:00,UFC Fight Night: Condit vs. Alves,16,4,0,Wrestling,Northern Ireland,36,Southpaw,70,Lightweight,25.101869355177485,80.0,30,5,2015,20,3,1,83.33333333333334
4680,Francisco Trinaldo,69,170,Striker,Brazil,44,Southpaw,70,Lightweight,2014-02-15,Jesse Ronson,W,Decision - Split,3,05:00,UFC Fight Night: Machida vs. Mousasi,13,3,0,Striker,Canada,37,Southpaw,70,Welterweight,25.101869355177485,81.25,15,2,2014,13,3,0,81.25
4701,Frank Camacho,70,155,Striker,Guam,33,Orthodox,73,Lightweight,2018-09-08,Geoff Neal,L,KO/TKO,2,01:23,UFC 228: Woodley vs. Till,21,6,0,Striker,USA,32,Southpaw,75,Welterweight,22.237755102040815,77.77777777777779,8,9,2018,9,2,0,81.81818181818183
4704,Frank Camacho,70,155,Striker,Guam,33,Orthodox,73,Lightweight,2017-06-17,Li Jingliang,L,Decision - Unanimous,3,05:00,UFC Fight Night: Holm vs. Correia,20,4,0,Striker,China,34,Orthodox,71,Welterweight,22.237755102040815,83.33333333333334,17,6,2017,12,4,0,75.0
4713,Frank Camacho,70,155,Striker,Guam,33,Orthodox,73,Lightweight,2014-02-28,Keita Nakamura,W,Decision - Unanimous,3,05:00,PXC: Pacific Xtreme Combat 42,13,2,0,Striker,Japan,38,Southpaw,73,Welterweight,22.237755102040815,86.66666666666667,28,2,2014,26,5,3,76.47058823529412
4734,Frankie Edgar,66,136,"Wrestling, Boxing",USA,41,Orthodox,68,Bantamweight,2019-07-27,Max Holloway,L,Decision - Unanimous,5,05:00,UFC 240: Holloway vs. Edgar,22,6,1,Striker,USA,31,Orthodox,69,Featherweight,21.948576675849402,75.86206896551724,27,7,2019,20,4,0,83.33333333333334
4737,Frankie Edgar,66,136,"Wrestling, Boxing",USA,41,Orthodox,68,Bantamweight,2017-05-13,Yair Rodriguez,W,TKO - Doctor's Stoppage,2,05:00,UFC 211: Miocic vs. dos Santos 2,20,5,1,Striker,Mexico,30,Orthodox,71,Featherweight,21.948576675849402,76.92307692307693,13,5,2017,12,1,0,92.3076923076923
4741,Frankie Edgar,66,136,"Wrestling, Boxing",USA,41,Orthodox,68,Bantamweight,2015-05-16,Urijah Faber,W,Decision - Unanimous,5,05:00,UFC Fight Night: Edgar vs. Faber,17,4,1,Striker,USA,43,Orthodox,67,Bantamweight,21.948576675849402,77.27272727272727,16,5,2015,32,7,0,82.05128205128204
4759,Frankie Edgar,66,136,"Wrestling, Boxing",USA,41,Orthodox,68,Bantamweight,2006-11-18,Jim Miller,W,Unanimous Decision,3,05:00,RF 14: Fall Brawl,4,0,0,Wrestling,USA,39,Southpaw,71,Lightweight,21.948576675849402,100.0,18,11,2006,5,0,0,100.0
4767,Frankie Saenz,66,135,Striker,USA,42,Orthodox,66,Bantamweight,2017-12-09,Merab Dvalishvili,W,Decision - Split,3,05:00,UFC Fight Night: Swanson vs. Ortega,11,5,0,Striker,Georgia,32,Orthodox,68,Bantamweight,21.787190082644628,68.75,9,12,2017,7,2,0,77.77777777777779
4770,Frankie Saenz,66,135,Striker,USA,42,Orthodox,66,Bantamweight,2015-12-12,Urijah Faber,L,Decision - Unanimous,3,05:00,UFC 194: Aldo vs. McGregor,11,2,0,Striker,USA,43,Orthodox,67,Bantamweight,21.787190082644628,84.61538461538461,12,12,2015,32,8,0,80.0
4784,Gabe Green,70,170,Mixed Martial Artist,USA,29,Switch,73,Welterweight,2022-07-02,Ian Machado Garry,L,Decision - Unanimous,3,05:00,UFC 276: Adesanya vs. Cannonier,11,3,0,Mixed Martial Artist,Ireland,25,Orthodox,74,Welterweight,24.389795918367348,78.57142857142857,2,7,2022,9,0,0,100.0
4794,Gabe Green,70,170,Mixed Martial Artist,USA,29,Switch,73,Welterweight,2017-01-21,Jalin Turner,L,KO,1,00:36,Bellator 170: Sonnen vs. Ortiz,3,1,0,Striker,USA,27,Southpaw,77,Lightweight,24.389795918367348,75.0,21,1,2017,2,2,0,50.0
4799,Gabriel Bonfim,73,170,Mixed Martial Artist,Brazil,25,Orthodox,72,Welterweight,2023-01-21,Mounir Lazzez,W,Submission,1,00:49,UFC 283: Teixeira vs. Hill,13,0,0,Mixed Martial Artist,Tunisia,35,Orthodox,76,Welterweight,22.426346406455245,100.0,21,1,2023,11,2,0,84.61538461538461
4800,Gabriel Bonfim,73,170,Mixed Martial Artist,Brazil,25,Orthodox,72,Welterweight,2022-09-06,Trey Waters,W,Submission,1,04:13,"Dana White's Contender Series: Season 6, Week 7",12,0,0,Mixed Martial Artist,USA,27,Orthodox,77,Welterweight,22.426346406455245,100.0,6,9,2022,6,0,0,100.0
4836,Gabriel Miranda,71,155,Mixed Martial Artist,Brazil,32,Orthodox,71,Lightweight,2008-10-04,Ricardo Lamas,L,KO/TKO,1,03:16,WC 6: Warriors Collide 6,0,1,0,Wrestling,USA,40,Orthodox,71,Featherweight,21.61575084308669,0.0,4,10,2008,3,0,0,100.0
4854,Gaetano Pirrello,67,135,"Muay Thai, Striker",Belgium,30,Orthodox,65,Featherweight,2021-01-20,Ricky Simon,L,Submission,2,04:00,UFC Fight Night: Chiesa vs. Magny,15,5,1,Striker,USA,30,Orthodox,69,Bantamweight,21.14167966139452,71.42857142857143,20,1,2021,16,3,0,84.21052631578947
4879,Gavin Tucker,66,146,Wrestling,Canada,36,Southpaw,66,Featherweight,2019-07-27,SeungWoo Choi,W,Submission,3,03:17,UFC 240: Holloway vs. Edgar,10,1,0,Mixed Martial Artist,Korea,30,Orthodox,74,Featherweight,23.562442607897157,90.9090909090909,27,7,2019,7,2,0,77.77777777777779
4881,Gavin Tucker,66,146,Wrestling,Canada,36,Southpaw,66,Featherweight,2017-02-19,Sam Sicilia,W,Decision - Unanimous,3,05:00,UFC Fight Night: Lewis vs. Browne,9,0,0,Striker,USA,36,Orthodox,67,Featherweight,23.562442607897157,100.0,19,2,2017,15,7,0,68.18181818181817
4895,Gegard Mousasi,74,185,Striker,Netherlands,37,Orthodox,76,Middleweight,2019-09-28,Lyoto Machida,W,Decision - Split,3,05:00,Bellator 228: Pitbull vs. Archuleta,45,8,2,Karate,Brazil,44,Southpaw,74,Middleweight,23.75,81.81818181818183,28,9,2019,26,8,0,76.47058823529412
4897,Gegard Mousasi,74,185,Striker,Netherlands,37,Orthodox,76,Middleweight,2018-09-29,Rory MacDonald,W,KO/TKO,2,03:23,Bellator 206: Mousasi vs. MacDonald,44,7,2,Striker,Canada,33,Orthodox,76,Welterweight,23.75,83.01886792452831,29,9,2018,20,4,0,83.33333333333334
4901,Gegard Mousasi,74,185,Striker,Netherlands,37,Orthodox,76,Middleweight,2016-11-19,Uriah Hall,W,KO/TKO,1,04:37,UFC Fight Night: Mousasi vs. Hall 2,40,7,2,Striker,Jamaica,38,Orthodox,79,Middleweight,23.75,81.63265306122449,19,11,2016,13,7,0,65.0
4905,Gegard Mousasi,74,185,Striker,Netherlands,37,Orthodox,76,Middleweight,2015-09-26,Uriah Hall,L,KO/TKO,2,00:25,UFC Fight Night: Barnett vs. Nelson,37,6,2,Striker,Jamaica,38,Orthodox,79,Middleweight,23.75,82.22222222222221,26,9,2015,12,5,0,70.58823529411765
4910,Gegard Mousasi,74,185,Striker,Netherlands,37,Orthodox,76,Middleweight,2014-02-15,Lyoto Machida,L,Decision - Unanimous,5,05:00,UFC Fight Night: Machida vs. Mousasi,34,4,2,Karate,Brazil,44,Southpaw,74,Middleweight,23.75,85.0,15,2,2014,20,4,0,83.33333333333334
4912,Gegard Mousasi,74,185,Striker,Netherlands,37,Orthodox,76,Middleweight,2013-01-12,Mike Kyle,W,Submission,1,04:09,Strikeforce: Marquardt vs. Saffiedine,32,4,2,Striker,USA,42,Orthodox,77,Heavyweight,23.75,84.21052631578947,12,1,2013,19,8,3,63.33333333333333
4913,Gegard Mousasi,74,185,Striker,Netherlands,37,Orthodox,76,Middleweight,2011-12-17,Ovince Saint Preux,W,Decision - Unanimous,3,05:00,Strikeforce: Melendez vs. Masvidal,31,4,2,Striker,Haiti,39,Southpaw,80,Light Heavyweight,23.75,83.78378378378379,17,12,2011,11,4,0,73.33333333333333
4923,Gegard Mousasi,74,185,Striker,Netherlands,37,Orthodox,76,Middleweight,2008-09-23,Melvin Manhoef,W,Submission (Triangle Choke),1,01:28,Dream 6: Middleweight Grand Prix 2008 Final,23,3,1,Wrestling,Netherlands,46,Orthodox,72,Light Heavyweight,23.75,85.18518518518519,23,9,2008,22,4,1,81.48148148148148
