,Fighter,Height,Weight(lbs),Style(op),Country,Age,Stance,Reach,WT_class,Date,Opponent,Res.,Decision,Rnd,Time,Event,W,L,D,Oppo_Style(op),Oppo_Country,Oppo_Age,Oppo_Stance,Oppo_Reach,Oppo_WT_class,BMI,Win_Percentage,Day,Month,Year,Oppo_W,Oppo_L,Oppo_D,Oppo_Win_Percentage
1891,Brunno Ferreira,70,184,Grappling,Brazil,30,Orthodox,72,Middleweight,2023-01-21,Gregory Rodrigues,W,KO/TKO,1,04:13,UFC 283: Teixeira vs. Hill,9,0,0,Grappling,Brazil,30,Orthodox,75,Middleweight,26.398367346938777,100.0,21,1,2023,13,4,0,76.47058823529412
1906,Bruno Silva,72,186,Striker,Brazil,33,Orthodox,65,Flyweight,2021-03-20,JP Buys,W,KO/TKO,2,02:56,UFC Fight Night: Brunson vs. Holland,10,5,3,Wrestling,South Africa,26,Orthodox,67,Flyweight,25.22337962962963,55.55555555555556,20,3,2021,9,2,0,81.81818181818183
1907,Bruno Silva,72,186,Striker,Brazil,33,Orthodox,65,Flyweight,2020-10-10,Tagir Ulanbekov,L,Decision - Unanimous,3,05:00,UFC Fight Night: Moraes vs. Sandhagen,10,4,3,Wrestling,Russia,31,Southpaw,70,Flyweight,25.22337962962963,58.82352941176471,10,10,2020,11,1,0,91.66666666666666
1908,Bruno Silva,72,186,Striker,Brazil,33,Orthodox,65,Flyweight,2020-03-14,David Dvorak,L,Decision - Unanimous,3,05:00,UFC Fight Night: Lee vs. Oliveira,10,3,3,Striker,Czech Republic,30,Orthodox,68,Flyweight,25.22337962962963,62.5,14,3,2020,17,3,0,85.0
1909,Bruno Silva,72,186,Striker,Brazil,33,Orthodox,65,Flyweight,2019-10-05,Khalid Taha,D,No Contest,3,03:00,UFC 243: Whittaker vs. Adesanya,10,3,2,Striker,Lebanon,30,Orthodox,69,Featherweight,25.22337962962963,66.66666666666666,5,10,2019,13,2,0,86.66666666666667
1912,Bruno Silva,72,186,Striker,Brazil,33,Orthodox,65,Flyweight,2017-05-05,Casey Kenney,D,Decision - Split (Draw),3,05:00,LFA 11: Frincu vs. Mendonca,8,3,1,Striker,USA,31,Southpaw,68,Bantamweight,25.22337962962963,66.66666666666666,5,5,2017,6,0,0,100.0
1938,Bruno Silva,72,186,Striker,Brazil,33,Orthodox,65,Flyweight,2021-12-11,Jordan Wright,W,KO/TKO,1,01:28,UFC 269: Oliveira vs. Poirier,21,6,0,Mixed Martial Artist,USA,31,Orthodox,77,Middleweight,25.22337962962963,77.77777777777779,11,12,2021,12,1,1,85.71428571428571
1966,Bruno Souza,70,144,Striker,Brazil,26,Orthodox,70,Featherweight,2022-03-26,Luis Saldana,L,Decision - Unanimous,3,05:00,UFC Fight Night: Blaydes vs. Daukaus,10,2,0,Freestyle,USA,32,Orthodox,73,Featherweight,20.65959183673469,83.33333333333334,26,3,2022,15,7,0,68.18181818181817
1979,CB Dollaway,74,185,Striker,USA,39,Orthodox,76,Middleweight,2019-12-31,Jiří Procházka,L,KO,1,01:55,Rizin FF: Rizin Fighting Federation 20,17,9,0,Striker,Czech Republic,30,Orthodox,80,Light Heavyweight,23.75,65.38461538461539,31,12,2019,25,3,1,86.20689655172413
1981,CB Dollaway,74,185,Striker,USA,39,Orthodox,76,Middleweight,2018-03-03,Hector Lombard,W,DQ,1,05:00,UFC 222: Cyborg vs. Kunitskaya,16,8,0,Judo,Cuba,44,Southpaw,71,Welterweight,23.75,66.66666666666666,3,3,2018,35,8,2,77.77777777777779
1982,CB Dollaway,74,185,Striker,USA,39,Orthodox,76,Middleweight,2017-07-07,Ed Herman,W,Decision - Unanimous,3,05:00,The Ultimate Fighter 25 Finale,15,8,0,Striker,USA,42,Orthodox,77,Light Heavyweight,23.75,65.21739130434783,7,7,2017,24,12,1,64.86486486486487
1985,CB Dollaway,74,185,Striker,USA,39,Orthodox,76,Middleweight,2014-12-20,Lyoto Machida,L,KO/TKO,1,01:02,UFC Fight Night: Machida vs. Dollaway,15,5,0,Karate,Brazil,44,Southpaw,74,Middleweight,23.75,75.0,20,12,2014,21,5,0,80.76923076923077
1988,CB Dollaway,74,185,Striker,USA,39,Orthodox,76,Middleweight,2013-10-19,Tim Boetsch,L,Decision - Split,3,05:00,UFC 166: Velasquez vs. Dos Santos 3,13,4,0,Wrestling,USA,42,Orthodox,74,Middleweight,23.75,76.47058823529412,19,10,2013,16,6,0,72.72727272727273
1996,CB Dollaway,74,185,Striker,USA,39,Orthodox,76,Middleweight,2009-07-11,Tom Lawlor,L,Submission,1,00:55,UFC 100: Lesnar vs. Mir 2,8,1,0,Wrestling,USA,39,Southpaw,75,Light Heavyweight,23.75,88.88888888888889,11,7,2009,5,1,0,83.33333333333334
2006,CJ Vergara,66,129,Mixed Martial Artist,USA,31,Orthodox,68,Flyweight,2022-10-15,Tatsuro Taira,L,Submission,2,04:19,UFC Fight Night: Grasso vs. Araujo,10,3,1,Mixed Martial Artist,Japan,23,Orthodox,70,Flyweight,20.818870523415978,71.42857142857143,15,10,2022,11,0,0,100.0
2007,CJ Vergara,66,129,Mixed Martial Artist,USA,31,Orthodox,68,Flyweight,2022-05-07,Kleydson Rodrigues,W,Decision - Split,3,05:00,UFC 274: Oliveira vs. Gaethje,9,3,1,Freestyle,Brazil,27,Orthodox,67,Flyweight,20.818870523415978,69.23076923076923,7,5,2022,7,1,0,87.5
2008,CJ Vergara,66,129,Mixed Martial Artist,USA,31,Orthodox,68,Flyweight,2021-11-06,Ode' Osbourne,L,Decision - Unanimous,3,05:00,UFC 268: Usman vs. Covington 2,9,2,1,Mixed Martial Artist,Jamaica,31,Southpaw,73,Bantamweight,20.818870523415978,75.0,6,11,2021,9,4,1,64.28571428571429
2021,Cain Velasquez,73,248,Striker,USA,40,Orthodox,77,Heavyweight,2019-02-17,Francis Ngannou,L,KO/TKO,1,00:26,UFC Fight Night: Ngannou vs. Velasquez,14,2,0,Striker,Cameroon,36,Orthodox,83,Heavyweight,32.716081816475885,87.5,17,2,2019,12,3,0,80.0
2024,Cain Velasquez,73,248,Striker,USA,40,Orthodox,77,Heavyweight,2013-10-19,Junior Dos Santos,W,KO/TKO,5,03:09,UFC 166: Velasquez vs. Dos Santos 3,12,1,0,Striker,Brazil,38,Orthodox,77,Heavyweight,32.716081816475885,92.3076923076923,19,10,2013,16,2,0,88.88888888888889
2026,Cain Velasquez,73,248,Striker,USA,40,Orthodox,77,Heavyweight,2012-12-29,Junior Dos Santos,W,Decision - Unanimous,5,05:00,UFC 155: Dos Santos vs. Velasquez 2,10,1,0,Striker,Brazil,38,Orthodox,77,Heavyweight,32.716081816475885,90.9090909090909,29,12,2012,15,1,0,93.75
2028,Cain Velasquez,73,248,Striker,USA,40,Orthodox,77,Heavyweight,2011-11-12,Junior Dos Santos,L,KO/TKO,1,01:04,UFC on Fox: Velasquez vs. dos Santos,9,0,0,Striker,Brazil,38,Orthodox,77,Heavyweight,32.716081816475885,100.0,12,11,2011,13,1,0,92.85714285714286
2032,Cain Velasquez,73,248,Striker,USA,40,Orthodox,77,Heavyweight,2009-06-13,Cheick Kongo,W,Decision - Unanimous,3,05:00,UFC 99: The Comeback,5,0,0,Wrestling,France,47,Orthodox,84,Heavyweight,32.716081816475885,100.0,13,6,2009,14,4,1,73.68421052631578
2040,Caio Borralho,70,186,Striker,Brazil,30,Southpaw,75,Middleweight,2022-04-16,Gadzhi Omargadzhiev,W,Decision - Unanimous,3,03:56,UFC Fight Night: Luque vs. Muhammad 2,10,1,1,Wrestling,Russia,29,Switch,71,Middleweight,26.685306122448978,83.33333333333334,16,4,2022,13,0,0,100.0
2054,Calvin Kattar,71,146,Striker,USA,34,Orthodox,72,Featherweight,2022-06-18,Josh Emmett,L,Decision - Split,5,05:00,UFC Fight Night: Kattar vs. Emmett,23,5,0,Striker,USA,37,Orthodox,70,Featherweight,20.36064272961714,82.14285714285714,18,6,2022,17,2,0,89.47368421052632
2055,Calvin Kattar,71,146,Striker,USA,34,Orthodox,72,Featherweight,2022-01-15,Giga Chikadze,W,Decision - Unanimous,5,05:00,UFC Fight Night: Kattar vs. Chikadze,22,5,0,Striker,Georgia,34,Orthodox,74,Featherweight,20.36064272961714,81.48148148148148,15,1,2022,14,2,0,87.5
2056,Calvin Kattar,71,146,Striker,USA,34,Orthodox,72,Featherweight,2021-01-16,Max Holloway,L,Decision - Unanimous,5,05:00,UFC Fight Night: Holloway vs. Kattar,22,4,0,Striker,USA,31,Orthodox,69,Featherweight,20.36064272961714,84.61538461538461,16,1,2021,21,6,0,77.77777777777779
2057,Calvin Kattar,71,146,Striker,USA,34,Orthodox,72,Featherweight,2020-07-15,Dan Ige,W,Decision - Unanimous,5,05:00,UFC Fight Night: Kattar vs. Ige,21,4,0,Wrestling,USA,31,Orthodox,71,Featherweight,20.36064272961714,84.0,15,7,2020,14,2,0,87.5
2060,Calvin Kattar,71,146,Striker,USA,34,Orthodox,72,Featherweight,2019-06-08,Ricardo Lamas,W,KO/TKO,1,04:06,UFC 238: Cejudo vs. Moraes,19,3,0,Wrestling,USA,40,Orthodox,71,Featherweight,20.36064272961714,86.36363636363636,8,6,2019,19,7,0,73.07692307692307
2061,Calvin Kattar,71,146,Striker,USA,34,Orthodox,72,Featherweight,2018-10-27,Chris Fishgold,W,KO/TKO,1,04:11,UFC Fight Night: Volkan vs. Smith,18,3,0,Striker,England,30,Orthodox,68,Featherweight,20.36064272961714,85.71428571428571,27,10,2018,17,1,1,89.47368421052632
2062,Calvin Kattar,71,146,Striker,USA,34,Orthodox,72,Featherweight,2018-04-07,Renato Moicano,L,Decision - Unanimous,3,05:00,UFC 223: Khabib vs. Iaquinta,18,2,0,Striker,Brazil,33,Orthodox,72,Featherweight,20.36064272961714,90.0,7,4,2018,11,1,1,84.61538461538461
2063,Calvin Kattar,71,146,Striker,USA,34,Orthodox,72,Featherweight,2018-01-20,Shane Burgos,W,KO/TKO,3,00:32,UFC 220: Miocic vs. Ngannou,17,2,0,Striker,USA,31,Orthodox,75,Featherweight,20.36064272961714,89.47368421052632,20,1,2018,10,0,0,100.0
2099,Cameron Saaiman,68,135,Mixed Martial Artist,South Africa,22,Southpaw,67,Bantamweight,2022-12-10,Steven Koslow,W,KO/TKO,3,04:13,UFC 282: Blachowicz vs. Ankalaev,6,0,0,Mixed Martial Artist,USA,26,Switch,69,Bantamweight,20.524437716262977,100.0,10,12,2022,6,0,0,100.0
2106,Cameron VanCamp,74,155,Kick Boxing,USA,29,Switch,74,Lightweight,2022-09-17,Nikolas Motta,L,KO/TKO,1,03:49,UFC Fight Night: Sandhagen vs. Song,15,6,2,Kick Boxing,Brazil,29,Orthodox,70,Lightweight,19.89864864864865,65.21739130434783,17,9,2022,12,4,0,75.0
2114,Cameron VanCamp,74,155,Kick Boxing,USA,29,Switch,74,Lightweight,2018-04-21,Thomas Gifford,D,No Contest,1,00:51,CC - Colosseum Combat 44,10,4,1,Mixed Martial Artist,USA,30,Orthodox,75,Lightweight,19.89864864864865,66.66666666666666,21,4,2018,15,7,1,65.21739130434783
2130,Carla Esparza,61,115,Wrestling,USA,35,Orthodox,63,Women's Strawweight,2022-11-12,Zhang Weili,L,Submission,2,01:05,UFC 281: Adesanya vs. Pereira,20,6,0,Wrestling,China,33,Switch,63,Women's Strawweight,21.726686374630475,76.92307692307693,12,11,2022,22,3,0,88.0
2133,Carla Esparza,61,115,Wrestling,USA,35,Orthodox,63,Women's Strawweight,2020-07-25,Marina Rodriguez,W,Decision - Split,3,05:00,UFC Fight Night: Whittaker vs. Till,17,6,0,"Muay Thai, Striker",Brazil,35,Orthodox,65,Women's Strawweight,21.726686374630475,73.91304347826086,25,7,2020,12,0,2,85.71428571428571
2137,Carla Esparza,61,115,Wrestling,USA,35,Orthodox,63,Women's Strawweight,2018-09-08,Tatiana Suarez,L,KO/TKO,3,04:33,UFC 228: Woodley vs. Till,14,5,0,Wrestling,USA,32,Southpaw,66,Women's Strawweight,21.726686374630475,73.68421052631578,8,9,2018,7,0,0,100.0
2139,Carla Esparza,61,115,Wrestling,USA,35,Orthodox,63,Women's Strawweight,2017-12-30,Cynthia Calvillo,W,Decision - Unanimous,3,05:00,UFC 219: Cyborg vs. Holm,13,4,0,Grappling,USA,35,Orthodox,64,Women's Flyweight,21.726686374630475,76.47058823529412,30,12,2017,6,0,0,100.0
2142,Carla Esparza,61,115,Wrestling,USA,35,Orthodox,63,Women's Strawweight,2016-04-23,Juliana Lima,W,Decision - Unanimous,3,05:00,UFC 197: Jones vs. Saint Preux,11,3,0,Mixed Martial Artist,Brazil,40,Orthodox,65,Women's Strawweight,21.726686374630475,78.57142857142857,23,4,2016,8,2,0,80.0
2143,Carla Esparza,61,115,Wrestling,USA,35,Orthodox,63,Women's Strawweight,2015-03-14,Joanna Jedrzejczyk,L,KO/TKO,2,04:17,UFC 185: Pettis vs. dos Anjos,11,2,0,"Muay Thai, Striker",Poland,35,Orthodox,65,Women's Strawweight,21.726686374630475,84.61538461538461,14,3,2015,8,0,0,100.0
2149,Carla Esparza,61,115,Wrestling,USA,35,Orthodox,63,Women's Strawweight,2011-12-02,Felice Herrig,W,Unanimous Decision,3,05:00,XFC 15: Tribute,5,2,0,Muay Thai,USA,38,Orthodox,65,Women's Strawweight,21.726686374630475,71.42857142857143,2,12,2011,5,3,0,62.5
2152,Carla Esparza,61,115,Wrestling,USA,35,Orthodox,63,Women's Strawweight,2010-12-10,Nina Nunes,W,Split Decision,3,05:00,Crowbar MMA: Winter Brawl,3,1,0,Grappling,USA,37,Orthodox,64,Women's Strawweight,21.726686374630475,75.0,10,12,2010,1,0,0,100.0
2158,Carlos Candelario,68,128,Freestyle,USA,31,Southpaw,68,Flyweight,2022-05-14,Tatsuro Taira,L,Decision - Unanimous,3,05:00,UFC Fight Night: Blachowicz vs. Rakic,8,1,0,Mixed Martial Artist,Japan,23,Orthodox,70,Flyweight,19.46020761245675,88.88888888888889,14,5,2022,10,0,0,100.0
2170,Carlos Felipe,72,259,Striker,Brazil,28,Orthodox,75,Heavyweight,2021-01-16,Justin Tafa,W,Decision - Split,3,05:00,UFC Fight Night: Holloway vs. Kattar,9,1,0,Striker,Australia,29,Southpaw,74,Heavyweight,35.12287808641975,90.0,16,1,2021,4,1,0,80.0
2171,Carlos Felipe,72,259,Striker,Brazil,28,Orthodox,75,Heavyweight,2020-10-03,Yorgan De Castro,W,Decision - Unanimous,3,05:00,UFC Fight Night: Holm vs. Aldana,8,1,0,Striker,Cape Verde,36,Orthodox,74,Heavyweight,35.12287808641975,88.88888888888889,3,10,2020,6,1,0,85.71428571428571
2172,Carlos Felipe,72,259,Striker,Brazil,28,Orthodox,75,Heavyweight,2020-07-18,Serghei Spivac,L,Decision - Majority,3,05:00,UFC Fight Night: Figueiredo vs. Benavidez 2,8,0,0,"Striker, Brawler",Moldova,28,Orthodox,78,Heavyweight,35.12287808641975,100.0,18,7,2020,10,2,0,83.33333333333334
2181,Carlos Huachin,65,135,Boxing,Peru,26,Southpaw,67,Bantamweight,2019-09-21,Jose Quinonez,L,Decision - Unanimous,3,05:00,UFC Fight Night: Rodriguez vs. Stephens,10,4,1,Striker,Mexico,32,Southpaw,69,Bantamweight,22.46272189349112,66.66666666666666,21,9,2019,8,3,0,72.72727272727273
2197,Carlos Mota,66,125,Striker,Brazil,27,Orthodox,69,Flyweight,2022-10-29,Cody Durden,L,Decision - Unanimous,3,05:00,UFC Fight Night: Kattar vs. Allen,8,1,0,Striker,USA,31,Southpaw,67,Bantamweight,20.173324150596876,88.88888888888889,29,10,2022,13,4,1,72.22222222222221
2207,Carlos Ulberg,76,205,Kick Boxing,New Zealand,32,Orthodox,77,Light Heavyweight,2022-11-12,Nicolae Negumereanu,W,KO/TKO,1,03:44,UFC 281: Adesanya vs. Pereira,7,1,0,Kick Boxing,Romania,28,Orthodox,78,Light Heavyweight,24.950657894736842,87.5,12,11,2022,13,1,0,92.85714285714286
2208,Carlos Ulberg,76,205,Kick Boxing,New Zealand,32,Orthodox,77,Light Heavyweight,2022-06-25,Tafon Nchukwi,W,KO/TKO,1,01:15,UFC Fight Night: Tsarukyan vs. Gamrot,6,1,0,Kick Boxing,Cameroon,28,Orthodox,77,Light Heavyweight,24.950657894736842,85.71428571428571,25,6,2022,6,2,0,75.0
2209,Carlos Ulberg,76,205,Kick Boxing,New Zealand,32,Orthodox,77,Light Heavyweight,2022-02-12,Fabio Cherant,W,Decision - Unanimous,3,05:00,UFC 271: Adesanya vs. Whittaker 2,5,1,0,Kick Boxing,USA,28,Southpaw,74,Light Heavyweight,24.950657894736842,83.33333333333334,12,2,2022,7,3,0,70.0
2210,Carlos Ulberg,76,205,Kick Boxing,New Zealand,32,Orthodox,77,Light Heavyweight,2021-03-06,Kennedy Nzechukwu,L,KO/TKO,2,03:19,UFC 259: Blachowicz vs. Adesanya,5,0,0,Striker,Nigeria,30,Southpaw,83,Light Heavyweight,24.950657894736842,100.0,6,3,2021,7,1,0,87.5
2216,Casey Kenney,67,136,Striker,USA,31,Southpaw,68,Bantamweight,2021-08-07,Song Yadong,L,Decision - Split,3,05:00,UFC 265: Lewis vs. Gane,16,3,1,Striker,China,25,Orthodox,67,Bantamweight,21.298284695923368,80.0,7,8,2021,16,6,2,66.66666666666666
2218,Casey Kenney,67,136,Striker,USA,31,Southpaw,68,Bantamweight,2020-10-24,Nathaniel Wood,W,Decision - Unanimous,3,05:00,UFC 254: Khabib vs. Gaethje,15,2,1,Striker,England,29,Orthodox,69,Bantamweight,21.298284695923368,83.33333333333334,24,10,2020,17,4,0,80.95238095238095
2221,Casey Kenney,67,136,Striker,USA,31,Southpaw,68,Bantamweight,2020-02-15,Merab Dvalishvili,L,Decision - Unanimous,3,05:00,UFC Fight Night: Anderson vs. Blachowicz 2,13,1,1,Striker,Georgia,32,Orthodox,68,Bantamweight,21.298284695923368,86.66666666666667,15,2,2020,9,4,0,69.23076923076923
2223,Casey Kenney,67,136,Striker,USA,31,Southpaw,68,Bantamweight,2019-03-30,Ray Borg,W,Decision - Unanimous,3,05:00,UFC Fight Night: Barboza vs. Gaethje,11,1,1,Grappling,USA,29,Orthodox,63,Bantamweight,21.298284695923368,84.61538461538461,30,3,2019,11,3,0,78.57142857142857
2238,Chan Sung Jung,67,145,Striker,Korea,35,Orthodox,72,Featherweight,2021-06-19,Dan Ige,W,Decision - Unanimous,5,05:00,UFC Fight Night: The Korean Zombie vs. Ige,16,6,0,Wrestling,USA,31,Orthodox,71,Featherweight,22.707730006683004,72.72727272727273,19,6,2021,15,3,0,83.33333333333334
2240,Chan Sung Jung,67,145,Striker,Korea,35,Orthodox,72,Featherweight,2019-12-21,Frankie Edgar,W,KO/TKO,1,03:18,UFC Fight Night: Edgar vs. The Korean Zombie,15,5,0,"Wrestling, Boxing",USA,41,Orthodox,68,Bantamweight,22.707730006683004,75.0,21,12,2019,22,7,1,73.33333333333333
2241,Chan Sung Jung,67,145,Striker,Korea,35,Orthodox,72,Featherweight,2019-06-22,Renato Moicano,W,KO/TKO,1,00:58,UFC Fight Night: Moicano vs. The Korean Zombie,14,5,0,Striker,Brazil,33,Orthodox,72,Featherweight,22.707730006683004,73.68421052631578,22,6,2019,13,2,1,81.25
2242,Chan Sung Jung,67,145,Striker,Korea,35,Orthodox,72,Featherweight,2018-11-10,Yair Rodriguez,L,KO/TKO,5,04:59,UFC Fight Night: Korean Zombie vs. Rodriguez,14,4,0,Striker,Mexico,30,Orthodox,71,Featherweight,22.707730006683004,77.77777777777779,10,11,2018,12,2,0,85.71428571428571
2262,Chance Rencountre,74,170,Striker,USA,36,Southpaw,75,Welterweight,2021-12-10,Jake Lindsey,W,Submission (Rear Naked Choke),2,00:44,FAC 11: Fighting Alliance Championship,15,4,0,Striker,USA,36,Switch,71,Lightweight,21.824324324324323,78.94736842105263,10,12,2021,11,8,0,57.89473684210527
2264,Chance Rencountre,74,170,Striker,USA,36,Southpaw,75,Welterweight,2019-11-02,Lyman Good,L,KO/TKO,3,02:03,UFC 244: Masvidal vs. Diaz,14,3,0,Striker,USA,37,Orthodox,74,Welterweight,21.824324324324323,82.35294117647058,2,11,2019,20,5,1,76.92307692307693
2266,Chance Rencountre,74,170,Striker,USA,36,Southpaw,75,Welterweight,2019-01-19,Kyle Stewart,W,Submission,1,02:25,UFC Fight Night: Cejudo vs. Dillashaw,12,3,0,Striker,USA,34,Orthodox,76,Welterweight,21.824324324324323,80.0,19,1,2019,11,1,0,91.66666666666666
2271,Chance Rencountre,74,170,Striker,USA,36,Southpaw,75,Welterweight,2017-01-27,Jake Lindsey,W,Decision - Split,3,05:00,Bellator 171: Guillard vs. Njokuani,8,2,0,Striker,USA,36,Switch,71,Lightweight,21.824324324324323,80.0,27,1,2017,11,5,0,68.75
2280,Chance Rencountre,74,170,Striker,USA,36,Southpaw,75,Welterweight,2013-08-30,Jason Witt,W,TKO,2,00:56,TFC 26: Titan Fighting Championship 26,1,0,0,Mixed Martial Artist,USA,36,Orthodox,70,Welterweight,21.824324324324323,100.0,30,8,2013,2,0,0,100.0
2282,Charles Byrd,70,185,Muay Thai,USA,39,Orthodox,73,Middleweight,2020-06-06,Maki Pitolo,L,KO/TKO,2,01:10,UFC 250: Nunes vs. Spencer,10,6,0,Mixed Martial Artist,USA,32,Orthodox,75,Middleweight,26.541836734693877,62.5,6,6,2020,12,5,0,70.58823529411765
2283,Charles Byrd,70,185,Muay Thai,USA,39,Orthodox,73,Middleweight,2019-03-02,Edmen Shahbazyan,L,KO/TKO,1,00:38,UFC 235: Jones vs. Smith,10,5,0,Striker,USA,25,Orthodox,74,Middleweight,26.541836734693877,66.66666666666666,2,3,2019,8,0,0,100.0
2284,Charles Byrd,70,185,Muay Thai,USA,39,Orthodox,73,Middleweight,2018-09-08,Darren Stewart,L,KO/TKO,2,02:17,UFC 228: Woodley vs. Till,10,4,0,Striker,England,32,Orthodox,74,Middleweight,26.541836734693877,71.42857142857143,8,9,2018,8,3,1,66.66666666666666
2285,Charles Byrd,70,185,Muay Thai,USA,39,Orthodox,73,Middleweight,2018-03-17,John Phillips,W,Submission,1,03:58,UFC Fight Night: Werdum vs. Volkov,9,4,0,Boxing,Wales,37,Southpaw,75,Middleweight,26.541836734693877,69.23076923076923,17,3,2018,21,6,1,75.0
2292,Charles Byrd,70,185,Muay Thai,USA,39,Orthodox,73,Middleweight,2012-12-14,Derrick Krantz,L,Submission (Rear Naked Choke),1,03:02,LFC 16: Legacy Fighting Championship 16,4,2,0,Striker,USA,35,Orthodox,72,Welterweight,26.541836734693877,66.66666666666666,14,12,2012,13,6,0,68.42105263157895
2299,Charles Jourdain,69,145,Striker,Canada,27,Switch,69,Featherweight,2022-09-03,Nathaniel Wood,L,Decision - Unanimous,3,05:00,UFC Fight Night: Gane vs. Tuivasa,13,5,1,Striker,England,29,Orthodox,69,Bantamweight,21.41041797941609,68.42105263157895,3,9,2022,18,5,0,78.26086956521739
2300,Charles Jourdain,69,145,Striker,Canada,27,Switch,69,Featherweight,2022-07-16,Shane Burgos,L,Decision - Majority,3,05:00,UFC Fight Night: Ortega vs. Rodriguez,13,4,1,Striker,USA,31,Orthodox,75,Featherweight,21.41041797941609,72.22222222222221,16,7,2022,14,3,0,82.35294117647058
2301,Charles Jourdain,69,145,Striker,Canada,27,Switch,69,Featherweight,2022-04-23,Lando Vannata,W,Submission,1,02:32,UFC Fight Night: Lemos vs. Andrade,12,4,1,Wrestling,USA,30,Orthodox,71,Lightweight,21.41041797941609,70.58823529411765,23,4,2022,12,5,2,63.1578947368421
2303,Charles Jourdain,69,145,Striker,Canada,27,Switch,69,Featherweight,2021-09-04,Julian Erosa,L,Submission,3,02:56,UFC Fight Night: Brunson vs. Till,11,3,1,Freestyle,USA,33,Southpaw,74,Featherweight,21.41041797941609,73.33333333333333,4,9,2021,25,10,0,71.42857142857143
2304,Charles Jourdain,69,145,Striker,Canada,27,Switch,69,Featherweight,2021-03-13,Marcelo Rojo,W,KO/TKO,3,04:31,UFC Fight Night: Edwards vs. Muhammad,10,3,1,Mixed Martial Artist,Argentina,34,Orthodox,71,Featherweight,21.41041797941609,71.42857142857143,13,3,2021,16,7,0,69.56521739130434
2305,Charles Jourdain,69,145,Striker,Canada,27,Switch,69,Featherweight,2020-10-03,Josh Culibao,D,Draw,3,05:00,UFC Fight Night: Holm vs. Aldana,10,3,0,Freestyle,Australia,28,Orthodox,73,Lightweight,21.41041797941609,76.92307692307693,3,10,2020,8,1,0,88.88888888888889
2307,Charles Jourdain,69,145,Striker,Canada,27,Switch,69,Featherweight,2019-12-21,Dooho Choi,W,KO/TKO,2,04:32,UFC Fight Night: Edgar vs. The Korean Zombie,9,2,0,Striker,Korea,31,Orthodox,70,Featherweight,21.41041797941609,81.81818181818183,21,12,2019,14,3,0,82.35294117647058
2308,Charles Jourdain,69,145,Striker,Canada,27,Switch,69,Featherweight,2019-05-18,Desmond Green,L,Decision - Unanimous,3,05:00,UFC Fight Night: Dos Anjos vs. Lee,9,1,0,Wrestling,USA,33,Southpaw,73,Lightweight,21.41041797941609,90.0,18,5,2019,22,8,0,73.33333333333333
2319,Chase Sherman,76,256,Striker,USA,33,Orthodox,78,Heavyweight,2022-11-19,Waldo Cortes-Acosta,L,Decision - Unanimous,3,05:00,UFC Fight Night: Nzechukwu vs. Cutelaba,16,10,0,Striker,Dominican Republic,31,Orthodox,78,Heavyweight,31.157894736842106,61.53846153846154,19,11,2022,8,0,0,100.0
2320,Chase Sherman,76,256,Striker,USA,33,Orthodox,78,Heavyweight,2022-07-09,Jared Vanderaa,W,KO/TKO,3,03:10,UFC Fight Night: Dos Anjos vs. Fiziev,15,10,0,Striker,USA,30,Orthodox,80,Heavyweight,31.157894736842106,60.0,9,7,2022,12,8,0,60.0
2323,Chase Sherman,76,256,Striker,USA,33,Orthodox,78,Heavyweight,2021-08-21,Parker Porter,L,Decision - Unanimous,3,05:00,UFC Fight Night: Cannonier vs. Gastelum,15,7,0,Striker,USA,37,Orthodox,75,Heavyweight,31.157894736842106,68.18181818181817,21,8,2021,11,6,0,64.70588235294117
2330,Chase Sherman,76,256,Striker,USA,33,Orthodox,78,Heavyweight,2018-04-21,Justin Willis,L,Decision - Unanimous,3,05:00,UFC Fight Night: Barboza vs. Lee,11,4,0,"Wrestling, Striker",USA,35,Southpaw,79,Heavyweight,31.157894736842106,73.33333333333333,21,4,2018,6,1,0,85.71428571428571
2331,Chase Sherman,76,256,Striker,USA,33,Orthodox,78,Heavyweight,2017-11-25,Shamil Abdurakhimov,L,KO/TKO,1,01:24,UFC Fight Night: Bisping vs. Gastelum,11,3,0,Wrestling,Russia,41,Orthodox,76,Heavyweight,31.157894736842106,78.57142857142857,25,11,2017,17,4,0,80.95238095238095
2333,Chase Sherman,76,256,Striker,USA,33,Orthodox,78,Heavyweight,2017-05-13,Rashad Coulter,W,KO/TKO,2,03:36,UFC 211: Miocic vs. dos Santos 2,9,3,0,Striker,USA,41,Orthodox,76,Heavyweight,31.157894736842106,75.0,13,5,2017,8,1,0,88.88888888888889
2334,Chase Sherman,76,256,Striker,USA,33,Orthodox,78,Heavyweight,2017-01-15,Walt Harris,L,KO/TKO,2,02:41,UFC Fight Night: Rodriguez vs. Penn,9,2,0,Striker,USA,39,Southpaw,77,Heavyweight,31.157894736842106,81.81818181818183,15,1,2017,8,5,0,61.53846153846154
2335,Chase Sherman,76,256,Striker,USA,33,Orthodox,78,Heavyweight,2016-08-06,Justin Ledet,L,Decision - Unanimous,3,05:00,UFC Fight Night: Rodriguez vs. Caceres,9,1,0,"Striker, Freestyle",USA,34,Orthodox,80,Light Heavyweight,31.157894736842106,90.0,6,8,2016,6,0,1,85.71428571428571
