Reach,Name,WT_class
"71""",Dustin Kimura,Bantamweight
"72""",Patrik Kincl,Welterweight
"70""",Bobby King,Lightweight
"70""",Courtney King,Women's Featherweight
"73""",Jason King,Welterweight
"75""",Mike King,Middleweight
"79""",Kyle Kingsbury,Light Heavyweight
"71""",Yusaku Kinoshita,Welterweight
"75""",Kamuela Kirk,Lightweight
"64.5""",Justine Kish,Women's Flyweight
"75""",Michal Kita,Heavyweight
"67""",Topnoi Kiwram,Flyweight
"70""",Krzysztof Klaczek,Featherweight
"66""",Sarah Kleczka,Women's Bantamweight
"72.5""",Ludovit Klein,Featherweight
"67.5""",Fatima Kline,Women's Strawweight
"70""",Drakkar Klose,Lightweight
"70""",Jason Knight,Featherweight
"73""",Virgil Knight,Middleweight
"73""",William Knight,Light Heavyweight
"61""",Josefine Knutsson,Women's Strawweight
"71.5""",Erik Koch,Lightweight
"70.5""",Kleber Koike Erbst,Featherweight
"74.5""",Szymon Kolecki,Light Heavyweight
"68""",Olena Kolesnyk,Women's Lightweight
"73""",Kaloyan Kolev,Light Heavyweight
"66""",Syuri Kondo,Women's Strawweight
"84""",Cheick Kongo,Heavyweight
"75""",Roman Kopylov,Middleweight
"65""",Bruno Korea,Flyweight
"67""",Attila Korkmaz,Featherweight
"73""",Josh Koscheck,Welterweight
"69""",Steven Koslow,Bantamweight
"66.5""",Naoyuki Kotani,Lightweight
"72""",Matt Kovacs,Heavyweight
"64""",Karolina Kowalkiewicz,Women's Strawweight
"73.5""",Kacper Koziorzebski,Welterweight
"70.5""",Leszek Krakowski,Featherweight
"72""",Derrick Krantz,Welterweight
"73.5""",James Krause,Welterweight
"72""",Pascal Krauss,Welterweight
"70""",Kaynan Kruschewsky,Lightweight
"68.5""",Lemmy Krusic,Bantamweight
"77.5""",Nikita Krylov,Light Heavyweight
"75""",Mariusz Ksiazkiewicz,Middleweight
"71""",Ryoji Kudo,Featherweight
"73""",Michael Kuiper,Middleweight
"72""",Anton Kuivanen,Lightweight
"72""",Aleksei Kunchenko,Welterweight
"76""",Rizvan Kuniev,Heavyweight
"71.5""",Kiichi Kunimoto,Welterweight
"74""",Leo Kuntz,Lightweight
"77""",Korey Kuppe,Welterweight
"73""",Ramazan Kuramagomedov,Middleweight
"72""",Guram Kutateladze,Lightweight
"69""",Jerry Kvarnstrom,Featherweight
"71.5""",Won Il Kwon,Featherweight
"77""",Mike Kyle,Heavyweight
"70""",Jeremiah Labiano,Featherweight
"71.5""",Luan Lacerda,Bantamweight
"72""",Kemran Lachinov,Middleweight
"66""",Aspen Ladd,Women's Featherweight
"74""",Ryan LaFlare,Welterweight
"69""",Noad Lahat,Featherweight
"76""",Yohan Lainesse,Welterweight
"74.5""",Sean Lally,Welterweight
"71""",Ricardo Lamas,Featherweight
"75""",Troy Lamson,Lightweight
"73""",Yves Landu,Lightweight
"72""",Nate Landwehr,Featherweight
"80""",Austen Lane,Heavyweight
"74""",Julian Lane,Welterweight
"65.5""",Lina Lansberg,Women's Bantamweight
"73""",Taylor Lapilus,Bantamweight
"71""",Chad Laprise,Welterweight
"71""",Anthony Lapsley,Welterweight
"68""",Alejandra Lara,Women's Flyweight
"66""",TJ Laramie,Featherweight
"72.5""",Lorenz Larkin,Welterweight
"70""",Brandon Laroco,Lightweight
"70""",Jeremy Larsen,Featherweight
"71""",Brock Larson,Catchweight
"78""",Bobby Lashley,Heavyweight
"73""",Ilir Latifi,Heavyweight
"69""",Luis Rafael Laurentino,Featherweight
"68.5""",Jenel Lausa,Flyweight
"71.5""",Joe Lauzon,Lightweight
"66""",Sandra Lavado,Women's Strawweight
"68.5""",Cody Law,Featherweight
"78""",Muhammed Lawal,Catch Weight
"74""",Robbie Lawler,Welterweight
"75""",Tom Lawlor,Light Heavyweight
"67""",Justin Lawrence,Featherweight
"74""",Lance Lawrence,Featherweight
"68.5""",Ronnie Lawrence,Bantamweight
"77""",Jimmy Lawson,Heavyweight
"73""",Valmir Lazaro,Lightweight
"69""",Zviad Lazishvili,Bantamweight
"76""",Mounir Lazzez,Welterweight
"70""",Cung Le,Middleweight
"74.5""",Thanh Le,Featherweight
"72""",Carlos Leal,Welterweight
"74""",Charlie Leary,Lightweight
"71""",Jordan Leavitt,Lightweight
"73""",Chris Leben,Middleweight
"72""",Jean-Paul Lebosnoyani,Lightweight
"73""",Mickael Lebout,Lightweight
"76""",Elvis Lebron-Quiles,Lightweight
"66""",Claudio Ledesma,Flyweight
"80""",Justin Ledet,Light Heavyweight
"75""",Aiden Lee,Featherweight
"69.5""",Andrea Lee,Women's Flyweight
"67""",Angela Lee,Women's Strawweight
"68.5""",Bobby Lee,Lightweight
"69""",Do Gyeom Lee,Featherweight
"73""",Hyung Seok Lee,Lightweight
"73""",JeongYeong Lee,Featherweight
"70.5""",Keith Lee,Featherweight
"77""",Kevin Lee,Lightweight
"68""",Rocky Lee,Featherweight
"66""",Vaughan Lee,Bantamweight
"71""",Mateusz Legierski,Welterweight
"67""",Katharina Lehner,Women's Bantamweight
"73""",Cheyden Leialoha,Bantamweight
"71""",Amber Leibrock,Women's Featherweight
"75""",Ryan Leininger,Welterweight
"64.5""",Claudia Leite,Women's Bantamweight
"78""",Thales Leites,Middleweight
"70""",Mark Lemminger,Welterweight
"65""",Amanda Lemos,Women's Strawweight
"75""",Giacomo Lemos,Heavyweight
"71""",Cris Lencioni,Featherweight
"72""",Jesse Lennox,Welterweight
"68""",Nik Lentz,Featherweight
"64""",Victoria Leonardo,Women's Flyweight
"79""",Bartosz Lesko,Light Heavyweight
"81""",Brock Lesnar,Heavyweight
"77""",Mathieu Letho Duclos,Middleweight
"68.5""",Valerie Letourneau,Women's Strawweight
"71""",Leah Letson,Women's Featherweight
"68""",Amanda Leve,Women's Featherweight
"70""",Marcus LeVesseur,Lightweight
"71""",Natan Levy,Lightweight
"79""",Bevon Lewis,Middleweight
"70""",Brandon Lewis,Bantamweight
"79""",Derrick Lewis,Heavyweight
"76""",Malik Lewis,Lightweight
"78.5""",Vernon Lewis,Heavyweight
"67""",Andrey Lezhnev,Featherweight
"72""",Jess Liaudin,Welterweight
"76.5""",Chuck Liddell,Light Heavyweight
"73""",Rodrigo Lidio,Lightweight
"68""",Ryan Lilley,Featherweight
"73""",Michael Lilly,Welterweight
"77""",Hyun Gyu Lim,Welterweight
"75""",Dhiego Lima,Welterweight
"74.5""",Douglas Lima,Welterweight
"65.5""",Juliana Lima,Women's Strawweight
"66""",Arivaldo Lima da Silva,Bantamweight
"66""",Heqin Lin,Women's Strawweight
"72.5""",Emiliano Linares,Featherweight
"74""",Matt Lindland,Middleweight
"71""",Jake Lindsey,Lightweight
"65""",Alyssa Linduska,Women's Strawweight
"67""",John Lineker,Bantamweight
"70""",Austin Lingo,Featherweight
"78""",Philipe Lins,Heavyweight
"67""",Ariane Lipski,Women's Flyweight
"70""",Drew Lipton,Lightweight
"75""",Dean Lister,Middleweight
"71""",Abner Lloveras,Lightweight
"65""",Artem Lobov,Featherweight
"72""",Dylan Lockard,Featherweight
"70""",Bryce Logan,Lightweight
"75""",Christian Lohsen,Lightweight
"76.5""",David Loiseau,Light Heavyweight
"71""",Hector Lombard,Welterweight
"72""",Michael Lombardo,Welterweight
"70""",Lewis Long,Welterweight
"66""",Xiao Long,Bantamweight
"61.5""",Loma Lookboonmee,Women's Strawweight
"74""",Ange Loosa,Welterweight
"72.5""",Diego Lopes,Featherweight
"65.5""",Dileno Lopes,Bantamweight
"73""",Benito Lopez,Bantamweight
"67""",Gustavo Lopez,Bantamweight
"66""",Johnny Lopez,Bantamweight
"69""",Matthew Lopez,Bantamweight
"71""",Brendan Loughnane,Featherweight
"64""",Valerie Loureda,Women's Flyweight
"73""",Joe Lowry,Lightweight
"66.5""",Helen Lucero,Women's Flyweight
"66""",Iasmin Lucindo,Women's Strawweight
"70""",Duane Ludwig,Welterweight
"75.5""",Ben Lugo,Featherweight
"73""",Jornel Lugo,Bantamweight
"70.5""",Rogelio Luna,Featherweight
"71""",Aleksandr Lunga,Bantamweight
"76""",Dalcha Lungiambula,Light Heavyweight
"75.5""",Vicente Luque,Welterweight
"75""",Travis Lutter,Middleweight
"74""",Joilton Lutterbach,Lightweight
"72""",Tucker Lutz,Lightweight
"68""",Chris Lytle,Welterweight
"70.5""",Dong Hyun Ma,Lightweight
"70""",Pawan Maan,Lightweight
"75""",William Macario,Welterweight
"80""",Jason MacDonald,Middleweight
"78.5""",Rob MacDonald,Heavyweight
"76""",Rory MacDonald,Welterweight
"71""",Ryan MacDonald,Bantamweight
"74""",Ederson Macedo,Light Heavyweight
"64""",Veronica Macedo,Women's Flyweight
"66.5""",Ilima-Lei Macfarlane,Women's Flyweight
"72""",Caio Machado,Featherweight
"63""",Valesca Machado,Women's Strawweight
"69""",Murad Machaev,Featherweight
"74""",Lyoto Machida,Middleweight
"64""",Pauline Macias,Women's Strawweight
"68""",Theodore Macuka,Featherweight
"72.5""",Reza Madadi,Lightweight
"72""",Don Madge,Lightweight
"70.5""",Tumisang Madiba,Featherweight
"76""",Daniel Madrid,Middleweight
"72""",Jon Madsen,Heavyweight
"72""",Mark O. Madsen,Lightweight
"68""",Yoshiro Maeda,Bantamweight
"65""",Darius Mafi,Bantamweight
"70""",Leonardo Mafra,Lightweight
"65""",Bernardo Magalhaes,Lightweight
"73""",Caio Magalhaes,Middleweight
"75""",Vinny Magalhaes,Light Heavyweight
"65""",Angela Magana,Women's Strawweight
"80""",Neil Magny,Welterweight
"73""",Magomed Magomedkerimov,Welterweight
"78""",Abus Magomedov,Middleweight
"68""",Akhmed Magomedov,Featherweight
"69""",Magomed Magomedov,Bantamweight
"70.5""",Rashid Magomedov,Lightweight
"78""",Ruslan Magomedov,Heavyweight
"71""",Khasan Magomedsharipov,Featherweight
"73""",Zabit Magomedsharipov,Featherweight
"69""",John Maguire,Lightweight
"72""",Demian Maia,Welterweight
"64""",Jennifer Maia,Women's Flyweight
"66""",Nayara Maia,Women's Flyweight
"68.5""",Levan Makashvili,Featherweight
"68""",John Makdessi,Lightweight
"70.5""",Islam Makhachev,Lightweight
"64""",Zach Makovsky,Flyweight
"75""",Fabio Maldonado,Heavyweight
"74""",Bea Malecki,Women's Bantamweight
"70""",Nazareno Malegarie,Lightweight
"73""",Jacob Malkoun,Middleweight
"73""",Mike Malott,Welterweight
"72""",Islam Mamedov,Lightweight
"69.5""",Nadine Mandiau,Women's Flyweight
"72""",Nate Maness,Bantamweight
"73""",Raush Manfio,Lightweight
"72""",Melvin Manhoef,Light Heavyweight
"64""",Marnic Mann,Women's Flyweight
"79.5""",Jimi Manuwa,Light Heavyweight
"72""",Cristiano Marcello,Lightweight
"69""",Daniel Marcos,Bantamweight
"65""",Jose Maria Tomé,Flyweight
"76""",Marcos Mariano,Lightweight
"74""",Enrique Marin,Welterweight
"75""",Ronny Markes,Heavyweight
"71""",Rory Markham,Welterweight
"80.5""",Jason Markland,Light Heavyweight
"63""",Randa Markos,Women's Strawweight
"69""",Christina Marks,Women's Flyweight
"74""",Nate Marquardt,Middleweight
"77""",Danilo Marques,Light Heavyweight
"74""",Edson Marques,Welterweight
"72""",Julian Marquez,Middleweight
"77""",Eliot Marshall,Light Heavyweight
"72""",Francis Marshall,Featherweight
"73""",Jack Marshman,Middleweight
"73""",Anthony Rocco Martin,Welterweight
"75""",Brett Martin,Heavyweight
"63""",Mallory Martin,Women's Strawweight
"74""",Mark Martin,Welterweight
"71""",Terry Martin,Middleweight
"78.5""",Michal Martinek,Heavyweight
"73""",Alexander Martinez,Lightweight
"67""",Danny Martinez,Flyweight
"68""",Henry Martinez,Lightweight
"70""",Jonathan Martinez,Bantamweight
"70""",Mana Martinez,Bantamweight
"66""",Melissa Martinez,Women's Strawweight
"72""",Roque Martinez,Heavyweight
"70""",Victor Martinez,Lightweight
"71""",David Martinik,Bantamweight
"72""",Adriano Martins,Lightweight
"68""",Evelyn Martins,Women's Featherweight
"72""",Lucas Martins,Featherweight
"70""",Werlleson Martins,Bantamweight
"71""",Bristol Marunde,Welterweight
"73.5""",Mike Massenzio,Middleweight
"65""",Tiffany Masters,Women's Strawweight
"59.5""",Bokang Masunyane,Flyweight
"74""",Jorge Masvidal,Welterweight
"67.5""",Al Matavao,Light Heavyweight
"67.5""",Tateki Matsuda,Flyweight
"66""",Koyomi Matsushima,Featherweight
"65.5""",Adrian Mattheis,Flyweight
"71""",Connor Matthews,Featherweight
"73""",Jake Matthews,Welterweight
"74""",Vladimir Matyushenko,Light Heavyweight
"66.5""",Lisa Mauldin,Flyweight
"63""",Taylor Mauldin,Women's Strawweight
"65.5""",Miranda Maverick,Women's Flyweight
"70""",Radu Maxim,Lightweight
"76""",Nick Maximov,Middleweight
"82""",Jeremy May,Heavyweight
"81""",Don'Tale Mayes,Heavyweight
"70""",Gray Maynard,Featherweight
"68""",Gina Mazany,Women's Bantamweight
"70""",Sabina Mazo,Women's Flyweight
"70""",Borys Mańkowski,Lightweight
"75""",Michael McBride,Lightweight
"64""",Ian McCall,Flyweight
"62""",Molly McCann,Women's Flyweight
"71.5""",Charles McCarthy,Middleweight
"70""",Lawson McClure,Featherweight
"81""",Sean McCorkle,Heavyweight
"61.5""",Danni McCormack,Women's Strawweight
"69""",Leah McCourt,Women's Featherweight
"76""",Kris McCray,Middleweight
"78""",Tamdan McCrory,Welterweight
"69""",Rob McCullough,Lightweight
"73""",Justin McCully,Heavyweight
"70""",Michael McDonald,Bantamweight
"72""",Drew McFedries,Middleweight
"75""",Court McGee,Welterweight
"74""",Conor McGregor,Lightweight
"73.5""",AJ McKee,Lightweight
"66""",Mitchell McKee,Bantamweight
"78""",Rhys McKee,Welterweight
"58.5""",Cory McKenna,Women's Strawweight
"73.5""",Aaron McKenzie,Lightweight
"71.5""",Lloyd McKinney,Flyweight
"73.5""",Terrance McKinney,Featherweight
"72""",Garreth McLellan,Middleweight
"66""",Sara McMann,Women's Bantamweight
"74.5""",Jon McNeil,Light Heavyweight
"75""",Tim Means,Welterweight
"75.5""",Yancy Medeiros,Lightweight
"71""",Uros Medic,Lightweight
"74.5""",Emil Meek,Welterweight
"75.5""",Alton Meeks,Heavyweight
"77.5""",Gerald Meerschaert,Middleweight
"73""",Jordan Mein,Welterweight
"63""",Ariana Melendez,Women's Strawweight
"73""",Gilbert Melendez,Lightweight
"70.5""",Junior Melo,Welterweight
"67""",Vanessa Melo,Women's Lightweight
"65""",Augusto Mendes,Bantamweight
"66""",Chad Mendes,Featherweight
"64.5""",Alberto Mendez,Flyweight
"71.5""",Mateus Mendonca,Bantamweight
"77""",Maycon Mendonca,Welterweight
"75""",Orlando Mendoza,Welterweight
"68.5""",Pietro Menga,Flyweight
"76""",Alonzo Menifield,Light Heavyweight
"64""",Ivan Menjivar,Featherweight
"72""",Steven Merrill,Featherweight
"73""",Joe Merritt,Welterweight
"71""",Mitzi Merry,Women's Flyweight
"65.5""",Bruno Mesquita,Flyweight
"63""",Marisa Messer-Belenchia,Women's Atomweight
"75""",Jonathan Meunier,Welterweight
"72""",Kaeo Meyer,Featherweight
"74""",Yaotzin Meza,Featherweight
"76""",Andreas Michailidis,Welterweight
"75""",Igor Michaliszyn,Middleweight
"72.5""",Michal Michalski,Welterweight
"71""",David Michaud,Welterweight
"69""",Jessica Miele,Women's Featherweight
"73""",Bojan Mihajlovic,Heavyweight
"64""",Linda Mihalec,Atomweight
"70""",Nikita Mikhailov,Bantamweight
"70""",Shojin Miki,Flyweight
"78""",Curtis Millender,Welterweight
"74""",Cole Miller,Featherweight
"74""",Dan Miller,Middleweight
"71""",Jim Miller,Lightweight
"67""",Juliana Miller,Women's Flyweight
"60""",Maraya Miller,Women's Strawweight
"72""",Mo Miller,Bantamweight
"76.5""",Gregory Milliard,Middleweight
"76""",Che Mills,Welterweight
"76""",Charlie Milner,Heavyweight
"76""",Adam Milstead,Light Heavyweight
"66""",Darren Mima,Flyweight
"74""",Cris Mims,Welterweight
"77.5""",Alberto Mina,Welterweight
"76""",Vitaly Minakov,Heavyweight
"75""",Zhang Mingyang,Light Heavyweight
"69.5""",Darrick Minner,Bantamweight
"75""",Carlton Minus,Welterweight
"80""",Stipe Miocic,Heavyweight
"79""",Frank Mir,Heavyweight
"71""",Gabriel Miranda,Lightweight
"74""",Mario Miranda,Middleweight
"74""",Richie Miranda,Lightweight
"77""",Vitor Miranda,Middleweight
"72""",Valeriu Mircea,Featherweight
"67""",Jeslen Mishelle,Women's Featherweight
"70""",Bryce Mitchell,Featherweight
"72""",Drey Mitchell,Bantamweight
"67""",McKenna Mitchell,Women's Strawweight
"79""",Matt Mitrione,Heavyweight
"71.5""",Hiromitsu Miura,Welterweight
"71.5""",Patchy Mix,Bantamweight
"74""",Chris Mixan,Welterweight
"68.5""",Takeya Mizugaki,Bantamweight
"69""",Roxanne Modafferi,Women's Flyweight
"75""",Hatef Moeil,Heavyweight
"74""",Bobby Moffett,Featherweight
"72""",Nate Mohr,Lightweight
"72""",Renato Moicano,Featherweight
"70.5""",Thiago Moises,Lightweight
"70""",Muhammad Mokaev,Flyweight
"66""",Marina Mokhnatkina,Women's Lightweight
"73""",Kenny Mokhonoana,Featherweight
"67""",Ashkan Mokhtarian,Flyweight
"72""",Suman Mokhtarian,Featherweight
"75""",Valentin Moldavsky,Heavyweight
"69""",Jeff Molina,Flyweight
"67""",Darrell Montague,Flyweight
"71""",Michelle Montague,Women's Featherweight
"73.5""",Justin Montalvo,Lightweight
"73""",Augusto Montano,Welterweight
"73""",Erick Montano,Welterweight
"65""",Nicco Montano,Women's Flyweight
"74""",Delan Monte,Light Heavyweight
"67""",Abigail Montes,Women's Lightweight
"75""",Steve Montgomery,Welterweight
"70""",Raphael Montini,Bantamweight
"71""",Matt Mooney,Lightweight
"71""",James Moontasri,Lightweight
"69""",Brian Moore,Bantamweight
"63""",Desmond Moore,Flyweight
"74.5""",Karl Moore,Light Heavyweight
"70""",Taylor Moore,Bantamweight
"71""",Todd Moore,Welterweight
"69""",Adriano Moraes,Flyweight
"67""",Marlon Moraes,Bantamweight
"72""",Sergio Moraes,Welterweight
"72""",Sheymon Moraes,Featherweight
"66""",John Moraga,Flyweight
"66""",Mariana Morais,Women's Lightweight
"72""",Albert Morales,Bantamweight
"69""",Joseph Morales,Flyweight
"68""",Leonardo Morales,Bantamweight
"79""",Michael Morales,Welterweight
"73""",Omar Morales,Lightweight
"70""",Vince Morales,Bantamweight
"67""",Sarah Moras,Women's Bantamweight
"81""",Christian Morecraft,Heavyweight
"72""",Richardson Moreira,Middleweight
"76""",Vinicius Moreira,Light Heavyweight
"70""",Brandon Moreno,Flyweight
"72.5""",Dan Moret,Lightweight
"71""",Alexander Morgan,Featherweight
"76.5""",Junior Morgan,Lightweight
"72""",Alex Morono,Welterweight
"67""",Maryna Moroz,Women's Flyweight
"67""",Sergey Morozov,Bantamweight
"69""",Carlos Mota,Flyweight
"71""",Killys Mota,Lightweight
"70""",Nikolas Motta,Lightweight
"68""",Kane Mousah,Lightweight
"76""",Gegard Mousasi,Middleweight
"68""",Kris Moutinho,Bantamweight
"70.5""",Levi Mowles,Bantamweight
"79""",Steve Mowry,Heavyweight
"65""",Kin Moy,Bantamweight
"65""",Jamie Moyle,Women's Strawweight
"74""",Askar Mozharov,Light Heavyweight
"67""",Lauren Mueller,Women's Flyweight
"72""",Belal Muhammad,Welterweight
"71.5""",Jamario Mulder,Welterweight
"73""",James Mulheron,Heavyweight
"74""",Jamie Mullarkey,Lightweight
"71""",Philip Mulpeter,Welterweight
"75""",David Mundell,Welterweight
"65""",Pedro Munhoz,Bantamweight
"78""",Andre Muniz,Middleweight
"72""",Alexander Munoz,Lightweight
"71""",Johnny Munoz,Featherweight
"72""",Mark Munoz,Middleweight
"72""",Olivier Murad,Featherweight
"75.5""",Makhmud Muradov,Middleweight
"62""",Kanako Murata,Women's Strawweight
"66""",Vince Murdock,Bantamweight
"72""",Manny Muro,Lightweight
"75""",Samandar Murodov,Welterweight
"67""",Lauren Murphy,Women's Flyweight
"73.5""",Lerone Murphy,Featherweight
"78""",Jesse Murray,Light Heavyweight
"71""",Kaheem Murray,Lightweight
"73.5""",Moses Murrietta,Middleweight
"72.5""",Khalid Murtazaliev,Middleweight
"71.5""",Azamat Murzakanov,Light Heavyweight
"72""",Shamil Musaev,Lightweight
"72""",Tofiq Musayev,Lightweight
"75""",Nico Musoke,Welterweight
"71""",Magomed Mustafaev,Lightweight
"72""",Elvis Mutapcic,Middleweight
"73""",Przemyslaw Mysiala,Light Heavyweight
"67""",Liang Na,Women's Strawweight
"70""",Muhammadjon Naimov,Featherweight
"60.5""",Rin Nakai,Women's Bantamweight
"73""",Keita Nakamura,Welterweight
"68""",Rinya Nakamura,Bantamweight
"71""",James Nakashima,Welterweight
"75""",Mandel Nallo,Lightweight
"68""",Tyson Nam,Flyweight
"69""",Yui Chul Nam,Featherweight
"65""",Rose Namajunas,Women's Strawweight
"70""",Nad Narimani,Featherweight
"76.5""",Tomasz Narkun,Light Heavyweight
"79.5""",Roger Narvaez,Middleweight
"69""",Allan Nascimento,Flyweight
"80""",Rodrigo Nascimento,Heavyweight
"74""",Bobby Nash,Welterweight
"71""",Nasrudin Nasrudinov,Light Heavyweight
"76""",Rafael Natal,Middleweight
"70""",Kevin Natividad,Featherweight
"74""",Ismail Naurdiev,Welterweight
"64""",Jazmin Navarrete,Women's Strawweight
"73""",Yusuf Nazokatov,Welterweight
"77""",Tafon Nchukwi,Light Heavyweight
"75""",Geoff Neal,Welterweight
"74""",Grant Neal,Light Heavyweight
"71""",Stanislav Nedkov,Light Heavyweight
"72.5""",Josh Neer,Welterweight
"78""",Nicolae Negumereanu,Light Heavyweight
"68""",Kaytlin Neil,Women's Flyweight
"72""",Gunnar Nelson,Welterweight
"75""",Keyes Nelson,Middleweight
"71""",Kyle Nelson,Featherweight
"72""",Roy Nelson,Heavyweight
"70""",Shane Nelson,Featherweight
"76""",Vadim Nemkov,Light Heavyweight
"78""",Viktor Nemkov,Light Heavyweight
"77""",Antonio Braga Neto,Middleweight
"78""",Eduardo Neves,Heavyweight
"73""",Jordan Newman,Middleweight
"67.5""",Journey Newson,Bantamweight
"83""",Francis Ngannou,Heavyweight
"64""",Andy Nguyen,Women's Strawweight
"65""",Ben Nguyen,Flyweight
"73""",Steven Nguyen,Featherweight
"67""",Annette Nichols,Women's Bantamweight
"68""",Ashley Nichols,Women's Strawweight
"81""",Alex Nicholson,Middleweight
"76""",Bo Nickal,Middleweight
"66""",Matheus Nicolau,Flyweight
"68.5""",Piotr Niedzielski,Featherweight
"69""",Tom Niinimaki,Bantamweight
"75""",Ramsey Nijem,Lightweight
"69""",Shamil Nikaev,Lightweight
"74.5""",Mats Nilsson,Welterweight
"64""",Guangyou Ning,Bantamweight
"75.5""",Anthony Njokuani,Lightweight
"80""",Chidi Njokuani,Welterweight
"65""",Phumi Nkuta,Flyweight
"77""",Antonio Rodrigo Nogueira,Heavyweight
"67""",Luis Nogueira,Featherweight
"75""",Rogerio Nogueira,Light Heavyweight
"76""",Kyle Noke,Welterweight
"70""",KJ Noons,Lightweight
"72""",Colbey Northcutt,Women's Bantamweight
"71.5""",Sage Northcutt,Lightweight
"67.5""",Auttumn Norton,Women's Bantamweight
"68""",Shohei Nose,Bantamweight
"75.5""",Jason Novelli,Lightweight
"72""",Phillipe Nover,Featherweight
"69""",Shayilan Nuerdanbieke,Featherweight
"69""",Amanda Nunes,Women's Bantamweight
"67""",Diego Nunes,Featherweight
"66""",Istela Nunes,Women's Strawweight
"67""",Josiane Nunes,Women's Bantamweight
"75""",Marcelo Nunes,Heavyweight
"64""",Nina Nunes,Women's Strawweight
"71""",Johnny Nunez,Welterweight
"72""",Abubakar Nurmagomedov,Welterweight
"70""",Khabib Nurmagomedov,Lightweight
"70""",Said Nurmagomedov,Bantamweight
"69""",Umar Nurmagomedov,Bantamweight
"72""",Usman Nurmagomedov,Lightweight
"71""",Bryan Nuro,Lightweight
"69""",Francesco Nuzzi,Bantamweight
"83""",Kennedy Nzechukwu,Light Heavyweight
"76.5""",Jake O'Brien,Catch Weight
"74""",Sean O'Connell,Light Heavyweight
"71""",Joshua O'Connor,Lightweight
"72""",Sean O'Malley,Bantamweight
"69""",Casey O'Neill,Women's Flyweight
"69""",Brendan O'Reilly,Welterweight
"70""",Mikhail Odintsov,Lightweight
"81""",Richard Odoms,Heavyweight
"76""",Tayo Odunjo,Welterweight
"74""",Yemi Oduwole,Middleweight
"75""",Volkan Oezdemir,Light Heavyweight
"72""",Trey Ogden,Lightweight
"69""",Andy Ogle,Featherweight
"75""",Juri Ohara,Lightweight
"75""",Yushin Okami,Middleweight
"76""",JJ Okanovich,Lightweight
"80""",Aleksei Oleinik,Heavyweight
"74""",Michal Oleksiejczuk,Light Heavyweight
"76""",Alex Oliveira,Welterweight
"80""",Bruno Oliveira,Middleweight
"74""",Charles Oliveira,Lightweight
"81.5""",Ednaldo Oliveira,Heavyweight
"69.5""",Jefferson Oliveira,Bantamweight
"69""",Maria Oliveira,Women's Strawweight
"71.5""",Rafaello Oliveira,Lightweight
"72""",Saimon Oliveira,Bantamweight
"72""",Wendell Oliveira,Welterweight
"72""",Felipe Olivieri,Lightweight
"71.5""",Gadzhi Omargadzhiev,Middleweight
"71""",Alan Omer,Featherweight
"74""",Daniel Omielanczuk,Heavyweight
"68""",Michihiro Omigawa,Featherweight
"74""",David Onama,Bantamweight
"78""",Charlie Ontiveros,Middleweight
"75""",Luke Ord,Featherweight
"75.5""",Myktybek Orolbay,Welterweight
"69""",Brian Ortega,Featherweight
"69""",Tony Ortega,Bantamweight
"65""",Dustin Ortiz,Flyweight
"69""",Ignacio Ortiz,Featherweight
"74""",Tito Ortiz,Light Heavyweight
"69""",Nobumitsu Osawa,Lightweight
"73""",Ode' Osbourne,Bantamweight
"76""",Nick Osipczak,Welterweight
"71""",Arman Ospanov,Featherweight
"62""",Rachael Ostovich,Women's Flyweight
"72""",Zak Ottow,Welterweight
"75""",Youcef Ouabbas,Middleweight
"74""",Sidney Outlaw,Lightweight
"80""",Alistair Overeem,Heavyweight
"65""",Alptekin Ozkilic,Flyweight
"68""",Nick Pace,Bantamweight
"72""",David Pacheco,Welterweight
"69""",Larissa Pacheco,Women's Lightweight
"75.5""",Teemu Packalen,Lightweight
"76""",Fernando Padilla,Lightweight
"79""",Michael Page,Welterweight
"71""",Dinis Paiva,Featherweight
"69.5""",Raulian Paiva,Flyweight
"66""",Fredson Paixao,Featherweight
"70""",Julija Pajic,Women's Lightweight
"70""",Bart Palaszewski,Featherweight
"72.5""",Sasha Palatnikov,Welterweight
"81""",Soa Palelei,Heavyweight
"67""",Richard Palencia,Bantamweight
"71""",Rousimar Palhares,Welterweight
"74.5""",Bobby Pallett,Welterweight
"69""",Lance Palmer,Featherweight
"67.5""",Alexandre Pantoja,Flyweight
"67""",Jared Papazian,Flyweight
"65""",Kathryn Paprocki,Women's Strawweight
"79""",Josh Parisian,Heavyweight
"72""",Karo Parisyan,Welterweight
"67""",Dae Sung Park,Welterweight
"74""",Graham Park,Middleweight
"70.5""",Harvey Park,Lightweight
"66""",HyunSung Park,Flyweight
"73""",Junyong Park,Middleweight
"70""",Norman Parke,Lightweight
"63""",Melissa Parker,Women's Strawweight
"68""",Olivia Parker,Women's Lightweight
"73""",Sidiah Parker,Middleweight
"79""",Mick Parkin,Heavyweight
"69""",Salahdine Parnasse,Featherweight
"73""",Ben Parrish,Light Heavyweight
"69""",Jonny Parsons,Welterweight
"71""",Preston Parsons,Welterweight
"68.5""",Vladislav Parubchenko,Featherweight
"66""",Ramona Pascual,Women's Featherweight
"77""",Michal Pasternak,Light Heavyweight
"75""",Jhonoven Pati,Middleweight
"74""",Alan Patrick,Lightweight
"75""",Claude Patrick,Welterweight
