Reach,Name,WT_class
"77""",Danny Davis Jr.,Middleweight
"73.5""",Hakeem Dawodu,Featherweight
"72""",Grant Dawson,Featherweight
"73.5""",Martin Day,Featherweight
"74""",Yorgan De Castro,Heavyweight
"72""",Geraldo de Freitas,Bantamweight
"82""",Phil de Fries,Heavyweight
"76.5""",John de Jesus,Featherweight
"75""",Vinicius de Jesus,Welterweight
"80.3""",Chris de la Rocha,Heavyweight
"65""",Mark De La Rosa,Bantamweight
"68""",Montana De La Rosa,Women's Flyweight
"71""",Mike de la Torre,Bantamweight
"75""",Marcos Rogerio de Lima,Heavyweight
"65""",Edwin De Los Santos,Flyweight
"71""",Jorge de Oliveira,Welterweight
"64""",Isabela de Padua,Women's Flyweight
"67.5""",Gloria de Paula,Women's Strawweight
"71""",Germaine de Randamie,Women's Bantamweight
"79""",Reinier de Ridder,Light Heavyweight
"66.5""",Dayane de Souza Cardoso,Women's Strawweight
"67""",Carl Deaton,Featherweight
"75""",Tom DeBlass,Middleweight
"63""",Jillian DeCoursey,Women's Atomweight
"66""",Ashley Deen,Women's Flyweight
"69.5""",Serena DeJesus,Women's Bantamweight
"67""",Wallen Del Rosario,Flyweight
"68""",Ryan Dela Cruz,Bantamweight
"62""",Jessica Delboni,Women's Atomweight
"77""",Rolando Delgado,Featherweight
"79""",Ante Delija,Heavyweight
"73""",Jack Della Maddalena,Welterweight
"71""",Roland Delorme,Bantamweight
"67""",Jon Delos Reyes,Flyweight
"59.5""",Vanessa Demopoulos,Women's Strawweight
"72""",Chris Dempsey,Middleweight
"74.5""",Myron Dennis,Light Heavyweight
"75.5""",Muhammed DeReese,Heavyweight
"63""",Mackenzie Dern,Women's Strawweight
"71""",Donovan Desmae,Lightweight
"70.5""",Tony DeSouza,Welterweight
"74""",Alessio Di Chirico,Middleweight
"74""",Jonathan Di Lorenzo,Welterweight
"81""",Cyrille Diabate,Light Heavyweight
"73""",Marc Diakiese,Lightweight
"76""",Blood Diamond,Welterweight
"69""",Tyler Diamond,Featherweight
"69""",Hacran Dias,Featherweight
"70.5""",Fabacary Diatta,Featherweight
"76""",Nate Diaz,Lightweight
"76""",Nick Diaz,Welterweight
"79""",Ozzy Diaz,Middleweight
"72""",Keoni Diggs,Lightweight
"67""",TJ Dillashaw,Bantamweight
"60.5""",Micol DiSegni,Women's Strawweight
"67.5""",Chris Disonell,Bantamweight
"70""",Dakota Ditcheva,Women's Flyweight
"71.5""",Devon Dixon,Lightweight
"75""",Matt Dixon,Welterweight
"73""",Anthony Dizy,Featherweight
"69.5""",Maria Djukic,Women's Bantamweight
"70.5""",Russell Doane,Bantamweight
"70""",Drew Dober,Lightweight
"76""",AJ Dobson,Middleweight
"69""",Shana Dobson,Women's Flyweight
"66""",John Dodson,Bantamweight
"75""",Joe Doerksen,Light Heavyweight
"76""",Roman Dolidze,Light Heavyweight
"76""",CB Dollaway,Middleweight
"70""",Michal Domin,Featherweight
"77""",Quentin Domingos,Heavyweight
"66.5""",JT Donaldson,Featherweight
"74""",Cody Donovan,Light Heavyweight
"70""",Rafael Dos Anjos,Welterweight
"79""",Acácio Dos Santos,Light Heavyweight
"70""",Anderson Dos Santos,Featherweight
"72""",Antonio Dos Santos,Welterweight
"77""",Junior Dos Santos,Heavyweight
"69""",John Douma,Bantamweight
"75.5""",Marc Doussis,Light Heavyweight
"72""",Danny Downes,Lightweight
"73""",Pat Downey,Middleweight
"74""",Kyle Driscoll,Featherweight
"76""",Tomasz Drwal,Middleweight
"78.5""",Robert Drysdale,Light Heavyweight
"76""",Dricus Du Plessis,Middleweight
"63""",Emily Ducote,Women's Strawweight
"67""",Viktoriia Dudakova,Women's Strawweight
"61.5""",Milana Dudieva,Women's Bantamweight
